Predicted p,Predicted U:0,Predicted U:1,Predicted U:2,Points:0,Points:1,Points:2
0.00022027337,0.04999848,1.802307e-05,-2.5582065e-24,-24.75,-9.3333,0
0.00014784458,4.9756622e-12,7.474373e-07,-2.3498562999999999e-23,-24.75,-10.0,0
0.0002143647,0.050000004,-8.182833e-06,7.881152000000001e-23,-25.0,-9.3333,0
0.00014048343,0.023084002,-1.2742414e-05,4.8477156e-23,-25.0,-10.0,0
0.0001734104,0.049999017,2.7761795e-05,-5.414529e-23,-24.5,-9.3333,0
0.00018695244,4.707344e-12,1.173075e-05,-6.058298000000001e-23,-24.5,-10.0,0
0.000222879,0.049996298,3.3380165e-05,-9.2187775e-23,-24.25,-9.3333,0
0.00014369871,1.20836605e-11,-3.0008086e-06,-1.0903234000000001e-22,-24.25,-10.0,0
0.00019369862,0.049994294,1.6868085e-05,-9.949765000000001e-23,-24.0,-9.3333,0
0.000198948,8.798899e-12,-1.6611171e-05,-6.4374634e-23,-24.0,-10.0,0
0.00021753753,0.04999188,1.7166098e-05,1.0827842e-23,-23.75,-9.3333,0
0.00015172118,2.1579752e-12,-6.001792e-06,-5.064896e-23,-23.75,-10.0,0
0.00015798988,0.049989335,2.7704533e-05,-4.2712388e-23,-23.5,-9.3333,0
0.0002150131,1.11832e-11,2.546607e-06,8.427306e-25,-23.5,-10.0,0
0.00021930406,0.04998646,1.9391999e-05,-7.992259e-23,-23.25,-9.3333,0
0.00023711823,-1.1073323e-11,1.4346151e-06,8.286833599999999e-23,-23.25,-10.0,0
0.0001544429,0.049983624,1.8335035e-05,-7.543787000000001e-23,-23.0,-9.3333,0
0.0002044138,-7.652913e-12,1.1401455e-05,4.4539995e-23,-23.0,-10.0,0
0.00017350206,0.04998074,3.781056e-05,-6.472538e-23,-22.75,-9.3333,0
0.00016578335,1.0823002e-11,7.320188e-06,3.0683786e-23,-22.75,-10.0,0
0.00016661508,0.04997776,3.7026082e-05,3.5132930000000004e-23,-22.5,-9.3333,0
0.0001977004,-7.65929e-12,8.7584995e-06,-5.1302212e-23,-22.5,-10.0,0
0.00022517731,0.049974896,3.3772085e-05,-2.2000258e-23,-22.25,-9.3333,0
0.00019218813,-5.1355656e-12,2.9184957e-07,-4.66421e-23,-22.25,-10.0,0
0.00010706087,0.049971905,2.7122514e-05,-7.295754000000001e-23,-22.0,-9.3333,0
0.0001913217,-5.50876e-12,-5.5439014e-06,1.0049265e-22,-22.0,-10.0,0
0.0001794283,0.049969126,2.7502887e-05,1.00967734e-22,-21.75,-9.3333,0
0.00015784874,-1.1522151e-11,-8.781441e-06,2.5712423e-23,-21.75,-10.0,0
0.00018284749,0.049966518,3.2347245e-05,-8.122682399999999e-23,-21.5,-9.3333,0
0.00014343407,-1.03712525e-11,1.2859004e-05,-5.295733e-23,-21.5,-10.0,0
0.00014465675,0.04996378,3.8180915e-05,-8.314401000000001e-23,-21.25,-9.3333,0
0.00016184233,7.2872194e-12,-1.2037257e-05,1.357612e-23,-21.25,-10.0,0
0.00017616035,0.04996124,3.8616912e-05,9.191258e-24,-21.0,-9.3333,0
0.00024876255,7.45173e-12,-1.1342418e-05,1.0520678e-23,-21.0,-10.0,0
0.00022387758,0.049958833,2.9496488e-05,-4.8917858e-23,-20.75,-9.3333,0
0.000164591,6.2736066e-12,4.2295287e-06,3.2127465e-24,-20.75,-10.0,0
0.0001509671,0.04995664,2.9902882e-05,-1.29148205e-23,-20.5,-9.3333,0
0.00018141475,-1.1016098e-11,1.3397454e-05,-5.572670000000001e-23,-20.5,-10.0,0
0.00017403011,0.049954478,4.3638283e-05,5.6341733e-23,-20.25,-9.3333,0
0.0001727899,1.0519988e-11,-1.0267831e-05,-9.106873000000001e-23,-20.25,-10.0,0
0.00015921358,0.049952604,1.1185868e-05,6.7076956e-23,-20.0,-9.3333,0
0.00015839946,1.1301633e-11,-2.2467575e-06,-1.0087467000000001e-22,-20.0,-10.0,0
0.00020414795,0.049951047,2.6025577e-05,7.769904e-23,-19.75,-9.3333,0
0.0001466045,2.3670857e-12,1.111388e-06,-3.8027008e-23,-19.75,-10.0,0
0.00021069235,0.0499495,2.1849664e-05,-7.6808445e-23,-19.5,-9.3333,0
0.00017201083,-2.3048083e-12,-1.718747e-05,-1.3835787e-23,-19.5,-10.0,0
0.00014970347,0.04994839,3.3341872e-05,-7.458439000000001e-23,-19.25,-9.3333,0
0.0002107869,-6.1120727e-12,-1.4261721e-05,2.987952e-23,-19.25,-10.0,0
0.00021304666,0.04994768,3.4007127e-05,-1.0832078e-22,-19.0,-9.3333,0
0.0002165345,-3.9290815e-13,-1.11597765e-05,1.8518718e-23,-19.0,-10.0,0
0.0001507236,0.049947236,3.518077e-05,-8.3118437e-23,-18.75,-9.3333,0
0.000110751025,7.01152e-12,1.0866912e-05,-4.0954932e-23,-18.75,-10.0,0
0.000106628366,0.04994716,2.0074192e-05,-8.811150000000001e-23,-18.5,-9.3333,0
0.00014126979,-7.559401e-12,4.961592e-06,-9.1507764e-23,-18.5,-10.0,0
0.00023946894,0.04994757,1.7887638e-05,-5.468245e-23,-18.25,-9.3333,0
0.0001805496,-7.578285e-12,7.578419e-06,8.711751000000001e-23,-18.25,-10.0,0
0.000118432064,0.049948677,-2.1158921e-06,9.748498000000001e-23,-18.0,-9.3333,0
0.00011659119,2.7642005e-13,-3.6712445e-06,-7.995561000000001e-23,-18.0,-10.0,0
0.00019557956,0.049950212,1.3671609e-05,-2.7947210000000004e-23,-17.75,-9.3333,0
0.00018959965,5.077848e-12,-2.5280242e-06,6.0172543e-24,-17.75,-10.0,0
0.00023318127,0.049952585,1.8905994e-05,2.0506357e-23,-17.5,-9.3333,0
0.000198747,3.0090878e-12,9.995856e-06,1.5135275e-23,-17.5,-10.0,0
0.00015250071,0.049955446,3.1069736e-05,-6.817626e-24,-17.25,-9.3333,0
0.0002144241,1.6568387e-12,2.2266904e-06,-5.4061584000000004e-24,-17.25,-10.0,0
0.00016994006,0.049959537,1.012889e-05,-2.1161137e-23,-17.0,-9.3333,0
0.0002077257,-3.3238625e-13,8.867326e-06,7.757042e-23,-17.0,-10.0,0
0.00022033168,0.049964037,3.033114e-06,-5.0179681999999996e-23,-16.75,-9.3333,0
0.00015498613,1.0131687e-11,4.385656e-06,-2.4753520999999998e-23,-16.75,-10.0,0
0.00018579737,0.04996997,-1.47123355e-05,1.1278818e-25,-16.5,-9.3333,0
0.00016537077,1.0681206e-11,2.5541667e-06,1.0242093000000001e-22,-16.5,-10.0,0
0.0001934888,0.04997663,-1.0247259e-05,-6.7077815e-23,-16.25,-9.3333,0
0.00018210779,-1.0462214e-11,1.1948432e-05,4.171961e-23,-16.25,-10.0,0
8.6243635e-05,0.049984638,9.95542e-06,1.930036e-23,-16.0,-9.3333,0
0.00020148791,4.5089366e-12,-1.1269305e-05,8.4227625e-24,-16.0,-10.0,0
0.00018365591,0.049993876,-8.2376355e-06,-6.2691376e-23,-15.75,-9.3333,0
0.00022828148,9.360103e-12,-2.0675361e-06,-7.704446e-23,-15.75,-10.0,0
0.00021185406,0.05000501,-1.7252823e-06,-5.367869e-23,-15.5,-9.3333,0
0.00018506282,-5.683315e-12,6.3267944e-06,-3.9969170000000006e-23,-15.5,-10.0,0
0.00011671462,0.050017055,-4.2386855e-06,6.823326000000001e-23,-15.25,-9.3333,0
0.00013813874,-5.62958e-12,-1.5532161e-05,7.5388786e-23,-15.25,-10.0,0
0.00017828551,0.050031453,-1.8404367e-05,6.5149965e-23,-15.0,-9.3333,0
0.00016520033,-4.4293163e-12,-9.8155e-06,-8.963257000000001e-23,-15.0,-10.0,0
0.00014459928,0.050047174,-3.265892e-05,-4.6423694e-23,-14.75,-9.3333,0
