"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00014741,0.049998,9.6977e-06,0,-24.75,-9.3333,0
0.00014843,0,0,0,-24.75,-10,0
0.00014775,0.05,0,0,-25,-9.3333,0
0.00014903,0.023084,0,0,-25,-10,0
0.00014696,0.049998,1.5522e-05,0,-24.5,-9.3333,0
0.00014767,0,0,0,-24.5,-10,0
0.0001467,0.049996,1.9906e-05,0,-24.25,-9.3333,0
0.00014726,0,0,0,-24.25,-10,0
0.0001464,0.049993,2.3402e-05,0,-24,-9.3333,0
0.00014683,0,0,0,-24,-10,0
0.00014614,0.04999,2.5923e-05,0,-23.75,-9.3333,0
0.00014646,0,0,0,-23.75,-10,0
0.00014588,0.049987,2.7776e-05,0,-23.5,-9.3333,0
0.00014613,0,0,0,-23.5,-10,0
0.00014564,0.049983,2.9128e-05,0,-23.25,-9.3333,0
0.00014582,0,0,0,-23.25,-10,0
0.0001454,0.04998,3.002e-05,0,-23,-9.3333,0
0.00014554,0,0,0,-23,-10,0
0.00014516,0.049976,3.0633e-05,0,-22.75,-9.3333,0
0.00014527,0,0,0,-22.75,-10,0
0.00014493,0.049972,3.1019e-05,0,-22.5,-9.3333,0
0.00014501,0,0,0,-22.5,-10,0
0.0001447,0.049968,3.1131e-05,0,-22.25,-9.3333,0
0.00014475,0,0,0,-22.25,-10,0
0.00014446,0.049965,3.1133e-05,0,-22,-9.3333,0
0.00014449,0,0,0,-22,-10,0
0.00014422,0.049961,3.096e-05,0,-21.75,-9.3333,0
0.00014423,0,0,0,-21.75,-10,0
0.00014397,0.049958,3.0647e-05,0,-21.5,-9.3333,0
0.00014397,0,0,0,-21.5,-10,0
0.00014371,0.049954,3.0232e-05,0,-21.25,-9.3333,0
0.0001437,0,0,0,-21.25,-10,0
0.00014344,0.049951,2.9676e-05,0,-21,-9.3333,0
0.00014342,0,0,0,-21,-10,0
0.00014316,0.049948,2.906e-05,0,-20.75,-9.3333,0
0.00014313,0,0,0,-20.75,-10,0
0.00014286,0.049946,2.8314e-05,0,-20.5,-9.3333,0
0.00014283,0,0,0,-20.5,-10,0
0.00014256,0.049943,2.7445e-05,0,-20.25,-9.3333,0
0.00014251,0,0,0,-20.25,-10,0
0.00014223,0.049942,2.6529e-05,0,-20,-9.3333,0
0.00014218,0,0,0,-20,-10,0
0.00014189,0.04994,2.545e-05,0,-19.75,-9.3333,0
0.00014182,0,0,0,-19.75,-10,0
0.00014152,0.049939,2.4324e-05,0,-19.5,-9.3333,0
0.00014145,0,0,0,-19.5,-10,0
0.00014114,0.049938,2.3009e-05,0,-19.25,-9.3333,0
0.00014106,0,0,0,-19.25,-10,0
0.00014073,0.049938,2.1645e-05,0,-19,-9.3333,0
0.00014064,0,0,0,-19,-10,0
0.00014029,0.049938,2.012e-05,0,-18.75,-9.3333,0
0.00014019,0,0,0,-18.75,-10,0
0.00013982,0.049939,1.8483e-05,0,-18.5,-9.3333,0
0.00013971,0,0,0,-18.5,-10,0
0.00013933,0.049941,1.6667e-05,0,-18.25,-9.3333,0
0.0001392,0,0,0,-18.25,-10,0
0.0001388,0.049943,1.4757e-05,0,-18,-9.3333,0
0.00013866,0,0,0,-18,-10,0
0.00013823,0.049946,1.2622e-05,0,-17.75,-9.3333,0
0.00013808,0,0,0,-17.75,-10,0
0.00013762,0.049949,1.0352e-05,0,-17.5,-9.3333,0
0.00013746,0,0,0,-17.5,-10,0
0.00013697,0.049954,7.8475e-06,0,-17.25,-9.3333,0
0.00013679,0,0,0,-17.25,-10,0
0.00013627,0.049959,5.1761e-06,0,-17,-9.3333,0
0.00013608,0,0,0,-17,-10,0
0.00013552,0.049966,2.2143e-06,0,-16.75,-9.3333,0
0.00013531,0,0,0,-16.75,-10,0
0.00013472,0.049974,-8.9527e-07,0,-16.5,-9.3333,0
0.00013449,0,0,0,-16.5,-10,0
0.00013386,0.049982,-4.4674e-06,0,-16.25,-9.3333,0
0.00013361,0,0,0,-16.25,-10,0
0.00013294,0.049993,-8.0482e-06,0,-16,-9.3333,0
0.00013267,0,0,0,-16,-10,0
0.00013194,0.050004,-1.2046e-05,0,-15.75,-9.3333,0
0.00013164,0,0,0,-15.75,-10,0
0.00013087,0.050017,-1.633e-05,0,-15.5,-9.3333,0
0.00013055,0,0,0,-15.5,-10,0
0.00012972,0.050031,-2.0996e-05,0,-15.25,-9.3333,0
0.00012937,0,0,0,-15.25,-10,0
0.00012849,0.050048,-2.6031e-05,0,-15,-9.3333,0
0.0001281,0,0,0,-15,-10,0
0.00012716,0.050066,-3.1549e-05,0,-14.75,-9.3333,0
0.00012673,0,0,0,-14.75,-10,0
0.00012573,0.050086,-3.7406e-05,0,-14.5,-9.3333,0
0.00012526,0,0,0,-14.5,-10,0
0.00012419,0.050108,-4.39e-05,0,-14.25,-9.3333,0
0.00012368,0,0,0,-14.25,-10,0
0.00012253,0.050133,-5.0732e-05,0,-14,-9.3333,0
0.00012197,0,0,0,-14,-10,0
0.00012075,0.05016,-5.8342e-05,0,-13.75,-9.3333,0
0.00012013,0,0,0,-13.75,-10,0
0.00011883,0.050191,-6.6265e-05,0,-13.5,-9.3333,0
0.00011814,0,0,0,-13.5,-10,0
0.00011676,0.050223,-7.5452e-05,0,-13.25,-9.3333,0
0.00011601,0,0,0,-13.25,-10,0
0.00011453,0.05026,-8.4833e-05,0,-13,-9.3333,0
0.00011368,0,0,0,-13,-10,0
0.00011213,0.050299,-9.5994e-05,0,-12.75,-9.3333,0
0.00011119,0,0,0,-12.75,-10,0
0.00010953,0.050343,-0.00010707,0,-12.5,-9.3333,0
0.00010845,0,0,0,-12.5,-10,0
0.00010675,0.050389,-0.000121,0,-12.25,-9.3333,0
0.00010553,0,0,0,-12.25,-10,0
0.00010374,0.050442,-0.00013432,0,-12,-9.3333,0
0.00010229,0,0,0,-12,-10,0
0.00010049,0.050497,-0.00015204,0,-11.75,-9.3333,0
9.8841e-05,0,0,0,-11.75,-10,0
9.7032e-05,0.05056,-0.0001688,0,-11.5,-9.3333,0
9.5027e-05,0,0,0,-11.5,-10,0
9.3234e-05,0.050625,-0.00019187,0,-11.25,-9.3333,0
9.0865e-05,0,0,0,-11.25,-10,0
8.9397e-05,0.0507,-0.00021429,0,-11,-9.3333,0
8.6498e-05,0,0,0,-11,-10,0
8.4862e-05,0.050774,-0.00024437,0,-10.75,-9.3333,0
8.1278e-05,0,0,0,-10.75,-10,0
8.1112e-05,0.05087,-0.00027917,0,-10.5,-9.3333,0
7.6958e-05,0,0,0,-10.5,-10,0
