"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00014505,0.049998,9.6884e-06,0,-24.75,-9.3333,0
0.00014607,0,0,0,-24.75,-10,0
0.00014539,0.05,0,0,-25,-9.3333,0
0.00014667,0.023084,0,0,-25,-10,0
0.0001446,0.049998,1.5623e-05,0,-24.5,-9.3333,0
0.00014529,0,0,0,-24.5,-10,0
0.00014434,0.049996,1.9884e-05,0,-24.25,-9.3333,0
0.0001449,0,0,0,-24.25,-10,0
0.00014404,0.049993,2.3378e-05,0,-24,-9.3333,0
0.00014447,0,0,0,-24,-10,0
0.00014378,0.04999,2.5911e-05,0,-23.75,-9.3333,0
0.0001441,0,0,0,-23.75,-10,0
0.00014352,0.049987,2.7808e-05,0,-23.5,-9.3333,0
0.00014377,0,0,0,-23.5,-10,0
0.00014328,0.049983,2.9126e-05,0,-23.25,-9.3333,0
0.00014346,0,0,0,-23.25,-10,0
0.00014304,0.04998,3.0084e-05,0,-23,-9.3333,0
0.00014318,0,0,0,-23,-10,0
0.0001428,0.049976,3.0693e-05,0,-22.75,-9.3333,0
0.00014291,0,0,0,-22.75,-10,0
0.00014257,0.049972,3.1063e-05,0,-22.5,-9.3333,0
0.00014265,0,0,0,-22.5,-10,0
0.00014234,0.049968,3.1221e-05,0,-22.25,-9.3333,0
0.00014239,0,0,0,-22.25,-10,0
0.0001421,0.049964,3.1206e-05,0,-22,-9.3333,0
0.00014214,0,0,0,-22,-10,0
0.00014186,0.049961,3.1029e-05,0,-21.75,-9.3333,0
0.00014188,0,0,0,-21.75,-10,0
0.00014161,0.049957,3.073e-05,0,-21.5,-9.3333,0
0.00014162,0,0,0,-21.5,-10,0
0.00014135,0.049954,3.0297e-05,0,-21.25,-9.3333,0
0.00014135,0,0,0,-21.25,-10,0
0.00014109,0.049951,2.9767e-05,0,-21,-9.3333,0
0.00014107,0,0,0,-21,-10,0
0.00014081,0.049948,2.9133e-05,0,-20.75,-9.3333,0
0.00014078,0,0,0,-20.75,-10,0
0.00014052,0.049945,2.8409e-05,0,-20.5,-9.3333,0
0.00014048,0,0,0,-20.5,-10,0
0.00014021,0.049943,2.7571e-05,0,-20.25,-9.3333,0
0.00014016,0,0,0,-20.25,-10,0
0.00013988,0.049941,2.6623e-05,0,-20,-9.3333,0
0.00013983,0,0,0,-20,-10,0
0.00013954,0.04994,2.557e-05,0,-19.75,-9.3333,0
0.00013948,0,0,0,-19.75,-10,0
0.00013918,0.049938,2.4404e-05,0,-19.5,-9.3333,0
0.00013911,0,0,0,-19.5,-10,0
0.0001388,0.049938,2.3134e-05,0,-19.25,-9.3333,0
0.00013871,0,0,0,-19.25,-10,0
0.00013839,0.049937,2.1729e-05,0,-19,-9.3333,0
0.00013829,0,0,0,-19,-10,0
0.00013795,0.049938,2.0214e-05,0,-18.75,-9.3333,0
0.00013785,0,0,0,-18.75,-10,0
0.00013749,0.049938,1.8567e-05,0,-18.5,-9.3333,0
0.00013737,0,0,0,-18.5,-10,0
0.00013699,0.04994,1.6762e-05,0,-18.25,-9.3333,0
0.00013687,0,0,0,-18.25,-10,0
0.00013646,0.049942,1.481e-05,0,-18,-9.3333,0
0.00013633,0,0,0,-18,-10,0
0.0001359,0.049945,1.2662e-05,0,-17.75,-9.3333,0
0.00013575,0,0,0,-17.75,-10,0
0.00013529,0.049949,1.039e-05,0,-17.5,-9.3333,0
0.00013513,0,0,0,-17.5,-10,0
0.00013464,0.049953,7.838e-06,0,-17.25,-9.3333,0
0.00013446,0,0,0,-17.25,-10,0
0.00013395,0.049959,5.1788e-06,0,-17,-9.3333,0
0.00013375,0,0,0,-17,-10,0
0.0001332,0.049965,2.1955e-06,0,-16.75,-9.3333,0
0.00013299,0,0,0,-16.75,-10,0
0.0001324,0.049973,-8.9345e-07,0,-16.5,-9.3333,0
0.00013216,0,0,0,-16.5,-10,0
0.00013154,0.049982,-4.4536e-06,0,-16.25,-9.3333,0
