"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00018446,0.049998,9.4937e-06,0,-24.75,-9.3333,0
0.00018546,0,0,0,-24.75,-10,0
0.0001848,0.05,0,0,-25,-9.3333,0
0.00018607,0.023084,0,0,-25,-10,0
0.000184,0.049998,1.5201e-05,0,-24.5,-9.3333,0
0.00018468,0,0,0,-24.5,-10,0
0.00018373,0.049996,1.924e-05,0,-24.25,-9.3333,0
0.00018428,0,0,0,-24.25,-10,0
0.00018343,0.049994,2.2521e-05,0,-24,-9.3333,0
0.00018384,0,0,0,-24,-10,0
0.00018314,0.049991,2.4813e-05,0,-23.75,-9.3333,0
0.00018345,0,0,0,-23.75,-10,0
0.00018287,0.049988,2.6462e-05,0,-23.5,-9.3333,0
0.0001831,0,0,0,-23.5,-10,0
0.0001826,0.049985,2.7551e-05,0,-23.25,-9.3333,0
0.00018277,0,0,0,-23.25,-10,0
0.00018233,0.049982,2.8253e-05,0,-23,-9.3333,0
0.00018246,0,0,0,-23,-10,0
0.00018207,0.049979,2.861e-05,0,-22.75,-9.3333,0
0.00018216,0,0,0,-22.75,-10,0
0.0001818,0.049976,2.8736e-05,0,-22.5,-9.3333,0
0.00018187,0,0,0,-22.5,-10,0
0.00018153,0.049973,2.8633e-05,0,-22.25,-9.3333,0
0.00018157,0,0,0,-22.25,-10,0
0.00018125,0.049971,2.8377e-05,0,-22,-9.3333,0
0.00018127,0,0,0,-22,-10,0
0.00018096,0.049968,2.7954e-05,0,-21.75,-9.3333,0
0.00018097,0,0,0,-21.75,-10,0
0.00018066,0.049966,2.7421e-05,0,-21.5,-9.3333,0
0.00018065,0,0,0,-21.5,-10,0
0.00018035,0.049964,2.6754e-05,0,-21.25,-9.3333,0
0.00018033,0,0,0,-21.25,-10,0
0.00018003,0.049962,2.5996e-05,0,-21,-9.3333,0
0.00017999,0,0,0,-21,-10,0
0.00017969,0.049961,2.5117e-05,0,-20.75,-9.3333,0
0.00017964,0,0,0,-20.75,-10,0
0.00017933,0.049959,2.4158e-05,0,-20.5,-9.3333,0
0.00017927,0,0,0,-20.5,-10,0
0.00017895,0.049959,2.3081e-05,0,-20.25,-9.3333,0
0.00017888,0,0,0,-20.25,-10,0
0.00017855,0.049959,2.1922e-05,0,-20,-9.3333,0
0.00017847,0,0,0,-20,-10,0
0.00017812,0.049959,2.0637e-05,0,-19.75,-9.3333,0
0.00017804,0,0,0,-19.75,-10,0
