"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00019912,0.049998,9.2092e-06,0,-24.75,-9.3333,0
0.00020011,0,0,0,-24.75,-10,0
0.00019946,0.05,0,0,-25,-9.3333,0
0.00020071,0.023084,0,0,-25,-10,0
0.00019866,0.049999,1.4637e-05,0,-24.5,-9.3333,0
0.00019933,0,0,0,-24.5,-10,0
0.00019837,0.049997,1.8552e-05,0,-24.25,-9.3333,0
0.00019891,0,0,0,-24.25,-10,0
0.00019805,0.049995,2.1568e-05,0,-24,-9.3333,0
0.00019844,0,0,0,-24,-10,0
0.00019774,0.049992,2.3734e-05,0,-23.75,-9.3333,0
0.00019803,0,0,0,-23.75,-10,0
0.00019744,0.04999,2.5224e-05,0,-23.5,-9.3333,0
0.00019765,0,0,0,-23.5,-10,0
0.00019714,0.049987,2.6231e-05,0,-23.25,-9.3333,0
0.00019729,0,0,0,-23.25,-10,0
0.00019684,0.049985,2.6862e-05,0,-23,-9.3333,0
0.00019694,0,0,0,-23,-10,0
0.00019653,0.049982,2.7195e-05,0,-22.75,-9.3333,0
0.0001966,0,0,0,-22.75,-10,0
0.00019621,0.04998,2.7318e-05,0,-22.5,-9.3333,0
0.00019626,0,0,0,-22.5,-10,0
0.00019589,0.049977,2.728e-05,0,-22.25,-9.3333,0
0.00019591,0,0,0,-22.25,-10,0
0.00019555,0.049975,2.7106e-05,0,-22,-9.3333,0
0.00019555,0,0,0,-22,-10,0
0.0001952,0.049973,2.6864e-05,0,-21.75,-9.3333,0
0.00019518,0,0,0,-21.75,-10,0
0.00019483,0.049971,2.6542e-05,0,-21.5,-9.3333,0
0.0001948,0,0,0,-21.5,-10,0
0.00019444,0.049969,2.6145e-05,0,-21.25,-9.3333,0
0.0001944,0,0,0,-21.25,-10,0
0.00019403,0.049968,2.5736e-05,0,-21,-9.3333,0
0.00019398,0,0,0,-21,-10,0
0.0001936,0.049966,2.5225e-05,0,-20.75,-9.3333,0
0.00019354,0,0,0,-20.75,-10,0
0.00019315,0.049965,2.4691e-05,0,-20.5,-9.3333,0
0.00019307,0,0,0,-20.5,-10,0
0.00019267,0.049964,2.4076e-05,0,-20.25,-9.3333,0
0.00019259,0,0,0,-20.25,-10,0
0.00019217,0.049964,2.3397e-05,0,-20,-9.3333,0
0.00019207,0,0,0,-20,-10,0
0.00019163,0.049963,2.2616e-05,0,-19.75,-9.3333,0
0.00019152,0,0,0,-19.75,-10,0
0.00019106,0.049963,2.1812e-05,0,-19.5,-9.3333,0
0.00019095,0,0,0,-19.5,-10,0
