"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00017675,0.049998,9.7363e-06,0,-24.75,-9.3333,0
0.00017777,0,0,0,-24.75,-10,0
0.00017709,0.05,0,0,-25,-9.3333,0
0.00017838,0.023084,0,0,-25,-10,0
0.0001763,0.049998,1.5814e-05,0,-24.5,-9.3333,0
0.000177,0,0,0,-24.5,-10,0
0.00017604,0.049996,2.0301e-05,0,-24.25,-9.3333,0
0.00017661,0,0,0,-24.25,-10,0
0.00017575,0.049993,2.4058e-05,0,-24,-9.3333,0
0.00017618,0,0,0,-24,-10,0
0.00017548,0.049989,2.6885e-05,0,-23.75,-9.3333,0
0.00017581,0,0,0,-23.75,-10,0
0.00017523,0.049986,2.912e-05,0,-23.5,-9.3333,0
0.00017548,0,0,0,-23.5,-10,0
0.00017499,0.049982,3.0818e-05,0,-23.25,-9.3333,0
0.00017518,0,0,0,-23.25,-10,0
0.00017476,0.049977,3.2166e-05,0,-23,-9.3333,0
0.0001749,0,0,0,-23,-10,0
0.00017453,0.049973,3.3204e-05,0,-22.75,-9.3333,0
0.00017464,0,0,0,-22.75,-10,0
0.0001743,0.049968,3.4015e-05,0,-22.5,-9.3333,0
0.00017438,0,0,0,-22.5,-10,0
0.00017407,0.049963,3.464e-05,0,-22.25,-9.3333,0
0.00017413,0,0,0,-22.25,-10,0
0.00017384,0.049958,3.5118e-05,0,-22,-9.3333,0
0.00017388,0,0,0,-22,-10,0
0.00017361,0.049953,3.5459e-05,0,-21.75,-9.3333,0
0.00017363,0,0,0,-21.75,-10,0
0.00017337,0.049947,3.5679e-05,0,-21.5,-9.3333,0
0.00017338,0,0,0,-21.5,-10,0
0.00017312,0.049942,3.5792e-05,0,-21.25,-9.3333,0
0.00017312,0,0,0,-21.25,-10,0
0.00017286,0.049937,3.5778e-05,0,-21,-9.3333,0
0.00017285,0,0,0,-21,-10,0
0.0001726,0.049932,3.568e-05,0,-20.75,-9.3333,0
0.00017257,0,0,0,-20.75,-10,0
0.00017232,0.049927,3.5439e-05,0,-20.5,-9.3333,0
0.00017228,0,0,0,-20.5,-10,0
0.00017202,0.049921,3.5094e-05,0,-20.25,-9.3333,0
0.00017198,0,0,0,-20.25,-10,0
0.00017171,0.049917,3.4652e-05,0,-20,-9.3333,0
0.00017166,0,0,0,-20,-10,0
0.00017138,0.049912,3.4037e-05,0,-19.75,-9.3333,0
0.00017132,0,0,0,-19.75,-10,0
0.00017104,0.049908,3.334e-05,0,-19.5,-9.3333,0
0.00017097,0,0,0,-19.5,-10,0
0.00017067,0.049903,3.2467e-05,0,-19.25,-9.3333,0
0.00017059,0,0,0,-19.25,-10,0
0.00017028,0.0499,3.1449e-05,0,-19,-9.3333,0
0.00017019,0,0,0,-19,-10,0
0.00016986,0.049896,3.0301e-05,0,-18.75,-9.3333,0
0.00016976,0,0,0,-18.75,-10,0
0.00016942,0.049893,2.8922e-05,0,-18.5,-9.3333,0
0.00016931,0,0,0,-18.5,-10,0
0.00016894,0.049891,2.7372e-05,0,-18.25,-9.3333,0
0.00016883,0,0,0,-18.25,-10,0
0.00016844,0.049889,2.5723e-05,0,-18,-9.3333,0
0.00016831,0,0,0,-18,-10,0
0.0001679,0.049888,2.3719e-05,0,-17.75,-9.3333,0
0.00016776,0,0,0,-17.75,-10,0
0.00016732,0.049887,2.1566e-05,0,-17.5,-9.3333,0
0.00016716,0,0,0,-17.5,-10,0
0.0001667,0.049888,1.9272e-05,0,-17.25,-9.3333,0
0.00016653,0,0,0,-17.25,-10,0
0.00016603,0.049889,1.6703e-05,0,-17,-9.3333,0
0.00016585,0,0,0,-17,-10,0
0.00016532,0.049891,1.3835e-05,0,-16.75,-9.3333,0
0.00016512,0,0,0,-16.75,-10,0
0.00016456,0.049895,1.0819e-05,0,-16.5,-9.3333,0
0.00016433,0,0,0,-16.5,-10,0
0.00016373,0.049899,7.4458e-06,0,-16.25,-9.3333,0
0.00016349,0,0,0,-16.25,-10,0
0.00016285,0.049905,3.9753e-06,0,-16,-9.3333,0
