"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00014493,0.049998,1.0049e-05,0,-24.75,-9.3333,0
0.00014598,0,0,0,-24.75,-10,0
0.00014527,0.05,0,0,-25,-9.3333,0
0.00014658,0.023084,0,0,-25,-10,0
0.00014449,0.049998,1.6291e-05,0,-24.5,-9.3333,0
0.00014522,0,0,0,-24.5,-10,0
0.00014425,0.049995,2.091e-05,0,-24.25,-9.3333,0
0.00014484,0,0,0,-24.25,-10,0
0.00014398,0.049992,2.4672e-05,0,-24,-9.3333,0
0.00014443,0,0,0,-24,-10,0
0.00014374,0.049989,2.7464e-05,0,-23.75,-9.3333,0
0.00014409,0,0,0,-23.75,-10,0
0.00014353,0.049985,2.955e-05,0,-23.5,-9.3333,0
0.0001438,0,0,0,-23.5,-10,0
0.00014333,0.04998,3.1031e-05,0,-23.25,-9.3333,0
0.00014354,0,0,0,-23.25,-10,0
0.00014314,0.049976,3.2069e-05,0,-23,-9.3333,0
0.00014331,0,0,0,-23,-10,0
0.00014297,0.049971,3.2708e-05,0,-22.75,-9.3333,0
0.0001431,0,0,0,-22.75,-10,0
0.00014281,0.049967,3.3054e-05,0,-22.5,-9.3333,0
0.00014291,0,0,0,-22.5,-10,0
0.00014265,0.049962,3.3127e-05,0,-22.25,-9.3333,0
0.00014273,0,0,0,-22.25,-10,0
0.00014249,0.049958,3.2997e-05,0,-22,-9.3333,0
0.00014256,0,0,0,-22,-10,0
0.00014234,0.049954,3.2661e-05,0,-21.75,-9.3333,0
0.00014239,0,0,0,-21.75,-10,0
0.00014219,0.04995,3.2183e-05,0,-21.5,-9.3333,0
0.00014223,0,0,0,-21.5,-10,0
0.00014205,0.049946,3.1539e-05,0,-21.25,-9.3333,0
0.00014207,0,0,0,-21.25,-10,0
0.00014189,0.049942,3.0775e-05,0,-21,-9.3333,0
0.00014191,0,0,0,-21,-10,0
0.00014174,0.049939,2.9863e-05,0,-20.75,-9.3333,0
0.00014175,0,0,0,-20.75,-10,0
0.00014158,0.049936,2.8854e-05,0,-20.5,-9.3333,0
0.00014158,0,0,0,-20.5,-10,0
0.00014142,0.049934,2.7683e-05,0,-20.25,-9.3333,0
0.00014141,0,0,0,-20.25,-10,0
0.00014125,0.049932,2.6455e-05,0,-20,-9.3333,0
0.00014123,0,0,0,-20,-10,0
0.00014107,0.04993,2.5052e-05,0,-19.75,-9.3333,0
0.00014104,0,0,0,-19.75,-10,0
0.00014087,0.04993,2.361e-05,0,-19.5,-9.3333,0
0.00014084,0,0,0,-19.5,-10,0
0.00014067,0.049929,2.1986e-05,0,-19.25,-9.3333,0
0.00014063,0,0,0,-19.25,-10,0
0.00014046,0.049929,2.0358e-05,0,-19,-9.3333,0
0.00014041,0,0,0,-19,-10,0
0.00014023,0.04993,1.849e-05,0,-18.75,-9.3333,0
0.00014017,0,0,0,-18.75,-10,0
0.00013998,0.049932,1.6619e-05,0,-18.5,-9.3333,0
0.00013992,0,0,0,-18.5,-10,0
0.00013971,0.049934,1.4563e-05,0,-18.25,-9.3333,0
0.00013965,0,0,0,-18.25,-10,0
0.00013943,0.049937,1.2514e-05,0,-18,-9.3333,0
0.00013935,0,0,0,-18,-10,0
0.00013912,0.049941,1.0248e-05,0,-17.75,-9.3333,0
0.00013904,0,0,0,-17.75,-10,0
0.00013878,0.049946,7.9284e-06,0,-17.5,-9.3333,0
0.0001387,0,0,0,-17.5,-10,0
0.00013838,0.049951,5.4198e-06,0,-17.25,-9.3333,0
0.00013826,0,0,0,-17.25,-10,0
0.00013793,0.049958,2.3376e-06,0,-17,-9.3333,0
0.00013776,0,0,0,-17,-10,0
0.00013749,0.049966,-1.0334e-06,0,-16.75,-9.3333,0
0.00013729,0,0,0,-16.75,-10,0
0.00013703,0.049974,-4.2114e-06,0,-16.5,-9.3333,0
0.00013683,0,0,0,-16.5,-10,0
0.00013653,0.049984,-7.4208e-06,0,-16.25,-9.3333,0
0.00013633,0,0,0,-16.25,-10,0
0.00013596,0.049995,-1.0627e-05,0,-16,-9.3333,0
0.00013574,0,0,0,-16,-10,0
0.00013536,0.050008,-1.4313e-05,0,-15.75,-9.3333,0
0.00013512,0,0,0,-15.75,-10,0
0.00013469,0.050022,-1.8256e-05,0,-15.5,-9.3333,0
0.00013443,0,0,0,-15.5,-10,0
0.00013395,0.050037,-2.2604e-05,0,-15.25,-9.3333,0
0.00013367,0,0,0,-15.25,-10,0
0.00013316,0.050054,-2.7178e-05,0,-15,-9.3333,0
0.00013285,0,0,0,-15,-10,0
0.00013229,0.050072,-3.2198e-05,0,-14.75,-9.3333,0
0.00013195,0,0,0,-14.75,-10,0
0.00013135,0.050093,-3.7552e-05,0,-14.5,-9.3333,0
0.00013097,0,0,0,-14.5,-10,0
0.00013032,0.050115,-4.3465e-05,0,-14.25,-9.3333,0
0.00012991,0,0,0,-14.25,-10,0
0.0001292,0.050139,-4.9677e-05,0,-14,-9.3333,0
0.00012874,0,0,0,-14,-10,0
0.00012798,0.050166,-5.665e-05,0,-13.75,-9.3333,0
0.00012748,0,0,0,-13.75,-10,0
0.00012666,0.050196,-6.3941e-05,0,-13.5,-9.3333,0
0.00012609,0,0,0,-13.5,-10,0
0.00012521,0.050227,-7.2327e-05,0,-13.25,-9.3333,0
0.00012459,0,0,0,-13.25,-10,0
0.00012364,0.050262,-8.0901e-05,0,-13,-9.3333,0
0.00012293,0,0,0,-13,-10,0
0.00012194,0.0503,-9.1075e-05,0,-12.75,-9.3333,0
0.00012115,0,0,0,-12.75,-10,0
0.00012009,0.050342,-0.00010129,0,-12.5,-9.3333,0
0.00011916,0,0,0,-12.5,-10,0
0.00011807,0.050386,-0.00011398,0,-12.25,-9.3333,0
0.00011703,0,0,0,-12.25,-10,0
0.00011589,0.050436,-0.00012644,0,-12,-9.3333,0
0.00011465,0,0,0,-12,-10,0
0.00011351,0.050488,-0.0001426,0,-11.75,-9.3333,0
0.00011207,0,0,0,-11.75,-10,0
0.00011099,0.050548,-0.00015834,0,-11.5,-9.3333,0
0.00010923,0,0,0,-11.5,-10,0
0.00010815,0.050609,-0.00017939,0,-11.25,-9.3333,0
0.00010605,0,0,0,-11.25,-10,0
