"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.0001489,0.049998,9.7667e-06,0,-24.75,-9.3333,0
0.00014992,0,0,0,-24.75,-10,0
0.00014924,0.05,0,0,-25,-9.3333,0
0.00015053,0.023084,0,0,-25,-10,0
0.00014845,0.049998,1.5659e-05,0,-24.5,-9.3333,0
0.00014915,0,0,0,-24.5,-10,0
0.00014819,0.049996,1.9886e-05,0,-24.25,-9.3333,0
0.00014876,0,0,0,-24.25,-10,0
0.00014791,0.049993,2.3239e-05,0,-24,-9.3333,0
0.00014834,0,0,0,-24,-10,0
0.00014765,0.04999,2.5576e-05,0,-23.75,-9.3333,0
0.00014798,0,0,0,-23.75,-10,0
0.0001474,0.049987,2.7211e-05,0,-23.5,-9.3333,0
0.00014765,0,0,0,-23.5,-10,0
0.00014717,0.049984,2.8246e-05,0,-23.25,-9.3333,0
0.00014736,0,0,0,-23.25,-10,0
0.00014695,0.04998,2.8874e-05,0,-23,-9.3333,0
0.00014709,0,0,0,-23,-10,0
0.00014673,0.049977,2.9097e-05,0,-22.75,-9.3333,0
0.00014684,0,0,0,-22.75,-10,0
0.00014651,0.049974,2.91e-05,0,-22.5,-9.3333,0
0.0001466,0,0,0,-22.5,-10,0
0.0001463,0.049971,2.8813e-05,0,-22.25,-9.3333,0
0.00014636,0,0,0,-22.25,-10,0
0.00014608,0.049968,2.8369e-05,0,-22,-9.3333,0
0.00014613,0,0,0,-22,-10,0
0.00014587,0.049966,2.7739e-05,0,-21.75,-9.3333,0
0.00014589,0,0,0,-21.75,-10,0
0.00014564,0.049964,2.697e-05,0,-21.5,-9.3333,0
0.00014566,0,0,0,-21.5,-10,0
0.00014541,0.049962,2.6052e-05,0,-21.25,-9.3333,0
0.00014542,0,0,0,-21.25,-10,0
0.00014518,0.04996,2.5048e-05,0,-21,-9.3333,0
0.00014517,0,0,0,-21,-10,0
0.00014493,0.049959,2.3916e-05,0,-20.75,-9.3333,0
0.00014491,0,0,0,-20.75,-10,0
0.00014468,0.049959,2.2701e-05,0,-20.5,-9.3333,0
0.00014465,0,0,0,-20.5,-10,0
0.00014441,0.049959,2.141e-05,0,-20.25,-9.3333,0
0.00014437,0,0,0,-20.25,-10,0
0.00014412,0.049959,2.0016e-05,0,-20,-9.3333,0
0.00014408,0,0,0,-20,-10,0
0.00014383,0.04996,1.8552e-05,0,-19.75,-9.3333,0
0.00014378,0,0,0,-19.75,-10,0
0.00014351,0.049962,1.6983e-05,0,-19.5,-9.3333,0
0.00014345,0,0,0,-19.5,-10,0
0.00014318,0.049964,1.5343e-05,0,-19.25,-9.3333,0
0.00014311,0,0,0,-19.25,-10,0
0.00014282,0.049966,1.3618e-05,0,-19,-9.3333,0
0.00014275,0,0,0,-19,-10,0
0.00014245,0.04997,1.1757e-05,0,-18.75,-9.3333,0
0.00014236,0,0,0,-18.75,-10,0
0.00014204,0.049974,9.8631e-06,0,-18.5,-9.3333,0
0.00014195,0,0,0,-18.5,-10,0
0.00014161,0.049978,7.8651e-06,0,-18.25,-9.3333,0
0.00014151,0,0,0,-18.25,-10,0
0.00014115,0.049984,5.7796e-06,0,-18,-9.3333,0
0.00014104,0,0,0,-18,-10,0
0.00014066,0.04999,3.4694e-06,0,-17.75,-9.3333,0
0.00014054,0,0,0,-17.75,-10,0
0.00014014,0.049997,1.2424e-06,0,-17.5,-9.3333,0
0.00014,0,0,0,-17.5,-10,0
0.00013955,0.050005,-1.3775e-06,0,-17.25,-9.3333,0
0.00013939,0,0,0,-17.25,-10,0
0.00013893,0.050014,-4.1152e-06,0,-17,-9.3333,0
0.00013873,0,0,0,-17,-10,0
0.00013828,0.050024,-7.0732e-06,0,-16.75,-9.3333,0
0.00013809,0,0,0,-16.75,-10,0
0.00013759,0.050035,-1.0011e-05,0,-16.5,-9.3333,0
0.00013737,0,0,0,-16.5,-10,0
0.00013683,0.050047,-1.3274e-05,0,-16.25,-9.3333,0
0.00013659,0,0,0,-16.25,-10,0
0.00013602,0.050061,-1.6719e-05,0,-16,-9.3333,0
0.00013577,0,0,0,-16,-10,0
0.00013514,0.050075,-2.0545e-05,0,-15.75,-9.3333,0
0.00013487,0,0,0,-15.75,-10,0
0.0001342,0.050092,-2.4632e-05,0,-15.5,-9.3333,0
0.00013391,0,0,0,-15.5,-10,0
0.00013319,0.050109,-2.9092e-05,0,-15.25,-9.3333,0
0.00013287,0,0,0,-15.25,-10,0
0.0001321,0.050128,-3.384e-05,0,-15,-9.3333,0
0.00013175,0,0,0,-15,-10,0
0.00013092,0.050149,-3.9091e-05,0,-14.75,-9.3333,0
0.00013054,0,0,0,-14.75,-10,0
0.00012966,0.050172,-4.4692e-05,0,-14.5,-9.3333,0
0.00012924,0,0,0,-14.5,-10,0
0.00012829,0.050197,-5.0862e-05,0,-14.25,-9.3333,0
0.00012783,0,0,0,-14.25,-10,0
0.00012683,0.050225,-5.7316e-05,0,-14,-9.3333,0
0.00012631,0,0,0,-14,-10,0
0.00012524,0.050254,-6.467e-05,0,-13.75,-9.3333,0
0.00012468,0,0,0,-13.75,-10,0
0.00012353,0.050287,-7.2425e-05,0,-13.5,-9.3333,0
0.00012291,0,0,0,-13.5,-10,0
0.00012169,0.050321,-8.1427e-05,0,-13.25,-9.3333,0
0.000121,0,0,0,-13.25,-10,0
0.0001197,0.05036,-9.0548e-05,0,-13,-9.3333,0
0.00011892,0,0,0,-13,-10,0
0.00011756,0.050401,-0.00010139,0,-12.75,-9.3333,0
0.0001167,0,0,0,-12.75,-10,0
0.00011525,0.050447,-0.00011217,0,-12.5,-9.3333,0
0.00011425,0,0,0,-12.5,-10,0
0.00011276,0.050496,-0.00012576,0,-12.25,-9.3333,0
0.00011164,0,0,0,-12.25,-10,0
0.00011008,0.05055,-0.00013905,0,-12,-9.3333,0
0.00010875,0,0,0,-12,-10,0
0.00010718,0.050607,-0.0001564,0,-11.75,-9.3333,0
0.00010565,0,0,0,-11.75,-10,0
0.00010412,0.050671,-0.00017318,0,-11.5,-9.3333,0
