"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00014664,0.049998,9.5675e-06,0,-24.75,-9.3333,0
0.00014765,0,0,0,-24.75,-10,0
0.00014699,0.05,0,0,-25,-9.3333,0
0.00014826,0.023084,0,0,-25,-10,0
0.00014619,0.049998,1.5466e-05,0,-24.5,-9.3333,0
0.00014688,0,0,0,-24.5,-10,0
0.00014592,0.049996,1.9791e-05,0,-24.25,-9.3333,0
0.00014648,0,0,0,-24.25,-10,0
0.00014562,0.049993,2.3401e-05,0,-24,-9.3333,0
0.00014604,0,0,0,-24,-10,0
0.00014534,0.04999,2.6113e-05,0,-23.75,-9.3333,0
0.00014565,0,0,0,-23.75,-10,0
0.00014507,0.049987,2.8226e-05,0,-23.5,-9.3333,0
0.00014531,0,0,0,-23.5,-10,0
0.00014481,0.049983,2.9846e-05,0,-23.25,-9.3333,0
0.00014499,0,0,0,-23.25,-10,0
0.00014455,0.049979,3.1107e-05,0,-23,-9.3333,0
0.00014469,0,0,0,-23,-10,0
0.0001443,0.049975,3.2077e-05,0,-22.75,-9.3333,0
0.0001444,0,0,0,-22.75,-10,0
0.00014404,0.04997,3.2827e-05,0,-22.5,-9.3333,0
0.00014411,0,0,0,-22.5,-10,0
0.00014378,0.049966,3.3392e-05,0,-22.25,-9.3333,0
0.00014383,0,0,0,-22.25,-10,0
0.00014352,0.049961,3.3805e-05,0,-22,-9.3333,0
0.00014354,0,0,0,-22,-10,0
0.00014324,0.049957,3.411e-05,0,-21.75,-9.3333,0
0.00014326,0,0,0,-21.75,-10,0
0.00014296,0.049952,3.4285e-05,0,-21.5,-9.3333,0
0.00014296,0,0,0,-21.5,-10,0
0.00014267,0.049947,3.4389e-05,0,-21.25,-9.3333,0
0.00014265,0,0,0,-21.25,-10,0
0.00014236,0.049943,3.4371e-05,0,-21,-9.3333,0
0.00014234,0,0,0,-21,-10,0
0.00014204,0.049938,3.4262e-05,0,-20.75,-9.3333,0
0.00014201,0,0,0,-20.75,-10,0
0.00014171,0.049933,3.4075e-05,0,-20.5,-9.3333,0
0.00014166,0,0,0,-20.5,-10,0
0.00014135,0.049929,3.3743e-05,0,-20.25,-9.3333,0
0.0001413,0,0,0,-20.25,-10,0
0.00014098,0.049924,3.3332e-05,0,-20,-9.3333,0
0.00014091,0,0,0,-20,-10,0
0.00014058,0.04992,3.2795e-05,0,-19.75,-9.3333,0
0.00014051,0,0,0,-19.75,-10,0
0.00014017,0.049916,3.2112e-05,0,-19.5,-9.3333,0
0.00014008,0,0,0,-19.5,-10,0
0.00013972,0.049912,3.133e-05,0,-19.25,-9.3333,0
0.00013963,0,0,0,-19.25,-10,0
0.00013925,0.049909,3.0389e-05,0,-19,-9.3333,0
0.00013915,0,0,0,-19,-10,0
0.00013875,0.049906,2.9276e-05,0,-18.75,-9.3333,0
0.00013864,0,0,0,-18.75,-10,0
0.00013822,0.049903,2.807e-05,0,-18.5,-9.3333,0
0.0001381,0,0,0,-18.5,-10,0
0.00013766,0.049901,2.6588e-05,0,-18.25,-9.3333,0
0.00013752,0,0,0,-18.25,-10,0
0.00013705,0.0499,2.4964e-05,0,-18,-9.3333,0
0.00013691,0,0,0,-18,-10,0
0.00013641,0.049899,2.3175e-05,0,-17.75,-9.3333,0
0.00013625,0,0,0,-17.75,-10,0
0.00013573,0.049899,2.1112e-05,0,-17.5,-9.3333,0
0.00013555,0,0,0,-17.5,-10,0
0.00013499,0.049899,1.879e-05,0,-17.25,-9.3333,0
0.0001348,0,0,0,-17.25,-10,0
0.00013421,0.049901,1.6352e-05,0,-17,-9.3333,0
0.000134,0,0,0,-17,-10,0
0.00013338,0.049903,1.3521e-05,0,-16.75,-9.3333,0
0.00013315,0,0,0,-16.75,-10,0
0.00013248,0.049906,1.0526e-05,0,-16.5,-9.3333,0
0.00013223,0,0,0,-16.5,-10,0
0.00013152,0.049911,7.2135e-06,0,-16.25,-9.3333,0
0.00013126,0,0,0,-16.25,-10,0
0.0001305,0.049917,3.6355e-06,0,-16,-9.3333,0
0.00013021,0,0,0,-16,-10,0
0.00012941,0.049924,-3.5745e-07,0,-15.75,-9.3333,0
0.00012909,0,0,0,-15.75,-10,0
0.00012824,0.049933,-4.469e-06,0,-15.5,-9.3333,0
0.00012791,0,0,0,-15.5,-10,0
0.00012698,0.049943,-9.0418e-06,0,-15.25,-9.3333,0
0.00012662,0,0,0,-15.25,-10,0
0.00012564,0.049955,-1.3708e-05,0,-15,-9.3333,0
0.00012524,0,0,0,-15,-10,0
0.00012418,0.049968,-1.9062e-05,0,-14.75,-9.3333,0
0.00012374,0,0,0,-14.75,-10,0
0.00012263,0.049984,-2.4805e-05,0,-14.5,-9.3333,0
0.00012215,0,0,0,-14.5,-10,0
0.00012097,0.050002,-3.1028e-05,0,-14.25,-9.3333,0
0.00012044,0,0,0,-14.25,-10,0
0.00011918,0.050022,-3.756e-05,0,-14,-9.3333,0
0.0001186,0,0,0,-14,-10,0
0.00011726,0.050044,-4.4937e-05,0,-13.75,-9.3333,0
0.00011663,0,0,0,-13.75,-10,0
0.0001152,0.05007,-5.2807e-05,0,-13.5,-9.3333,0
0.0001145,0,0,0,-13.5,-10,0
