"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00016789,0.049998,9.7099e-06,0,-24.75,-9.3333,0
0.00016891,0,0,0,-24.75,-10,0
0.00016823,0.05,0,0,-25,-9.3333,0
0.00016952,0.023084,0,0,-25,-10,0
0.00016744,0.049998,1.576e-05,0,-24.5,-9.3333,0
0.00016814,0,0,0,-24.5,-10,0
0.00016718,0.049996,2.0235e-05,0,-24.25,-9.3333,0
0.00016775,0,0,0,-24.25,-10,0
0.00016689,0.049993,2.3973e-05,0,-24,-9.3333,0
0.00016732,0,0,0,-24,-10,0
0.00016662,0.04999,2.6789e-05,0,-23.75,-9.3333,0
0.00016694,0,0,0,-23.75,-10,0
0.00016637,0.049986,2.9013e-05,0,-23.5,-9.3333,0
0.00016661,0,0,0,-23.5,-10,0
0.00016612,0.049982,3.0706e-05,0,-23.25,-9.3333,0
0.00016631,0,0,0,-23.25,-10,0
0.00016589,0.049977,3.2048e-05,0,-23,-9.3333,0
0.00016603,0,0,0,-23,-10,0
0.00016566,0.049973,3.3083e-05,0,-22.75,-9.3333,0
0.00016576,0,0,0,-22.75,-10,0
0.00016542,0.049968,3.3895e-05,0,-22.5,-9.3333,0
0.0001655,0,0,0,-22.5,-10,0
0.00016519,0.049963,3.4514e-05,0,-22.25,-9.3333,0
0.00016525,0,0,0,-22.25,-10,0
0.00016496,0.049958,3.4992e-05,0,-22,-9.3333,0
0.000165,0,0,0,-22,-10,0
0.00016472,0.049953,3.5334e-05,0,-21.75,-9.3333,0
0.00016474,0,0,0,-21.75,-10,0
0.00016448,0.049948,3.5555e-05,0,-21.5,-9.3333,0
0.00016448,0,0,0,-21.5,-10,0
0.00016422,0.049943,3.5676e-05,0,-21.25,-9.3333,0
0.00016422,0,0,0,-21.25,-10,0
0.00016396,0.049937,3.5666e-05,0,-21,-9.3333,0
0.00016394,0,0,0,-21,-10,0
0.00016369,0.049932,3.558e-05,0,-20.75,-9.3333,0
0.00016366,0,0,0,-20.75,-10,0
0.0001634,0.049927,3.5357e-05,0,-20.5,-9.3333,0
0.00016336,0,0,0,-20.5,-10,0
0.0001631,0.049922,3.5018e-05,0,-20.25,-9.3333,0
0.00016305,0,0,0,-20.25,-10,0
0.00016278,0.049917,3.4589e-05,0,-20,-9.3333,0
0.00016272,0,0,0,-20,-10,0
0.00016244,0.049913,3.3995e-05,0,-19.75,-9.3333,0
0.00016238,0,0,0,-19.75,-10,0
0.00016209,0.049908,3.3308e-05,0,-19.5,-9.3333,0
0.00016201,0,0,0,-19.5,-10,0
0.00016171,0.049904,3.2455e-05,0,-19.25,-9.3333,0
0.00016163,0,0,0,-19.25,-10,0
0.00016131,0.0499,3.1456e-05,0,-19,-9.3333,0
0.00016122,0,0,0,-19,-10,0
0.00016088,0.049897,3.0334e-05,0,-18.75,-9.3333,0
0.00016078,0,0,0,-18.75,-10,0
0.00016042,0.049894,2.899e-05,0,-18.5,-9.3333,0
0.00016031,0,0,0,-18.5,-10,0
0.00015994,0.049892,2.7434e-05,0,-18.25,-9.3333,0
0.00015982,0,0,0,-18.25,-10,0
0.00015942,0.04989,2.5815e-05,0,-18,-9.3333,0
0.00015929,0,0,0,-18,-10,0
0.00015887,0.049888,2.3866e-05,0,-17.75,-9.3333,0
0.00015872,0,0,0,-17.75,-10,0
0.00015827,0.049888,2.1705e-05,0,-17.5,-9.3333,0
0.00015811,0,0,0,-17.5,-10,0
0.00015764,0.049888,1.9411e-05,0,-17.25,-9.3333,0
0.00015747,0,0,0,-17.25,-10,0
0.00015696,0.04989,1.6873e-05,0,-17,-9.3333,0
0.00015677,0,0,0,-17,-10,0
0.00015623,0.049892,1.4013e-05,0,-16.75,-9.3333,0
0.00015602,0,0,0,-16.75,-10,0
0.00015545,0.049895,1.1013e-05,0,-16.5,-9.3333,0
0.00015522,0,0,0,-16.5,-10,0
0.00015461,0.049899,7.6239e-06,0,-16.25,-9.3333,0
0.00015436,0,0,0,-16.25,-10,0
0.00015371,0.049905,4.1216e-06,0,-16,-9.3333,0
0.00015344,0,0,0,-16,-10,0
0.00015274,0.049912,2.1085e-07,0,-15.75,-9.3333,0
0.00015245,0,0,0,-15.75,-10,0
0.00015171,0.049921,-3.8988e-06,0,-15.5,-9.3333,0
0.0001514,0,0,0,-15.5,-10,0
0.0001506,0.04993,-8.4929e-06,0,-15.25,-9.3333,0
0.00015026,0,0,0,-15.25,-10,0
0.0001494,0.049942,-1.3171e-05,0,-15,-9.3333,0
0.00014902,0,0,0,-15,-10,0
0.0001481,0.049956,-1.8404e-05,0,-14.75,-9.3333,0
0.00014768,0,0,0,-14.75,-10,0
0.00014671,0.049971,-2.3952e-05,0,-14.5,-9.3333,0
0.00014625,0,0,0,-14.5,-10,0
0.00014521,0.049989,-3.0203e-05,0,-14.25,-9.3333,0
0.00014472,0,0,0,-14.25,-10,0
0.0001436,0.050009,-3.6938e-05,0,-14,-9.3333,0
0.00014306,0,0,0,-14,-10,0
0.00014187,0.050031,-4.4426e-05,0,-13.75,-9.3333,0
0.00014127,0,0,0,-13.75,-10,0
0.00014,0.050056,-5.2203e-05,0,-13.5,-9.3333,0
0.00013933,0,0,0,-13.5,-10,0
0.00013799,0.050084,-6.1019e-05,0,-13.25,-9.3333,0
0.00013725,0,0,0,-13.25,-10,0
0.00013582,0.050115,-7.0098e-05,0,-13,-9.3333,0
0.00013499,0,0,0,-13,-10,0
0.00013349,0.050148,-8.067e-05,0,-12.75,-9.3333,0
0.00013256,0,0,0,-12.75,-10,0
0.00013097,0.050187,-9.1181e-05,0,-12.5,-9.3333,0
0.0001299,0,0,0,-12.5,-10,0
0.00012826,0.050227,-0.00010397,0,-12.25,-9.3333,0
0.00012705,0,0,0,-12.25,-10,0
0.00012534,0.050273,-0.00011649,0,-12,-9.3333,0
0.00012392,0,0,0,-12,-10,0
0.00012218,0.050322,-0.00013271,0,-11.75,-9.3333,0
0.00012054,0,0,0,-11.75,-10,0
