"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00018786,0.049998,9.5718e-06,0,-24.75,-9.3333,0
0.00018888,0,0,0,-24.75,-10,0
0.00018821,0.05,0,0,-25,-9.3333,0
0.00018948,0.023084,0,0,-25,-10,0
0.00018741,0.049998,1.5247e-05,0,-24.5,-9.3333,0
0.0001881,0,0,0,-24.5,-10,0
0.00018714,0.049996,1.9328e-05,0,-24.25,-9.3333,0
0.0001877,0,0,0,-24.25,-10,0
0.00018684,0.049994,2.2523e-05,0,-24,-9.3333,0
0.00018727,0,0,0,-24,-10,0
0.00018657,0.049991,2.4728e-05,0,-23.75,-9.3333,0
0.00018689,0,0,0,-23.75,-10,0
0.0001863,0.049988,2.6259e-05,0,-23.5,-9.3333,0
0.00018654,0,0,0,-23.5,-10,0
0.00018605,0.049985,2.7201e-05,0,-23.25,-9.3333,0
0.00018623,0,0,0,-23.25,-10,0
0.0001858,0.049982,2.7737e-05,0,-23,-9.3333,0
0.00018593,0,0,0,-23,-10,0
0.00018555,0.04998,2.7904e-05,0,-22.75,-9.3333,0
0.00018565,0,0,0,-22.75,-10,0
0.0001853,0.049977,2.7831e-05,0,-22.5,-9.3333,0
0.00018537,0,0,0,-22.5,-10,0
0.00018504,0.049974,2.7482e-05,0,-22.25,-9.3333,0
0.00018509,0,0,0,-22.25,-10,0
0.00018479,0.049972,2.7006e-05,0,-22,-9.3333,0
0.00018481,0,0,0,-22,-10,0
0.00018452,0.04997,2.631e-05,0,-21.75,-9.3333,0
0.00018453,0,0,0,-21.75,-10,0
0.00018425,0.049969,2.5534e-05,0,-21.5,-9.3333,0
0.00018425,0,0,0,-21.5,-10,0
0.00018396,0.049967,2.4624e-05,0,-21.25,-9.3333,0
0.00018395,0,0,0,-21.25,-10,0
0.00018367,0.049966,2.3625e-05,0,-21,-9.3333,0
0.00018364,0,0,0,-21,-10,0
0.00018336,0.049966,2.2535e-05,0,-20.75,-9.3333,0
0.00018332,0,0,0,-20.75,-10,0
0.00018303,0.049966,2.1374e-05,0,-20.5,-9.3333,0
0.00018299,0,0,0,-20.5,-10,0
0.00018269,0.049966,2.0105e-05,0,-20.25,-9.3333,0
0.00018264,0,0,0,-20.25,-10,0
0.00018233,0.049967,1.8773e-05,0,-20,-9.3333,0
0.00018227,0,0,0,-20,-10,0
0.00018195,0.049968,1.7371e-05,0,-19.75,-9.3333,0
0.00018188,0,0,0,-19.75,-10,0
0.00018154,0.04997,1.5874e-05,0,-19.5,-9.3333,0
0.00018147,0,0,0,-19.5,-10,0
0.00018112,0.049973,1.431e-05,0,-19.25,-9.3333,0
0.00018103,0,0,0,-19.25,-10,0
0.00018066,0.049976,1.2682e-05,0,-19,-9.3333,0
0.00018057,0,0,0,-19,-10,0
0.00018018,0.04998,1.0985e-05,0,-18.75,-9.3333,0
