"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.000236,0.049998,1.01e-05,0,-24.75,-9.3333,0
0.00023704,0,0,0,-24.75,-10,0
0.00023634,0.05,0,0,-25,-9.3333,0
0.00023764,0.023084,0,0,-25,-10,0
0.00023556,0.049998,1.6468e-05,0,-24.5,-9.3333,0
0.00023628,0,0,0,-24.5,-10,0
0.00023532,0.049995,2.1245e-05,0,-24.25,-9.3333,0
0.00023591,0,0,0,-24.25,-10,0
0.00023505,0.049992,2.5192e-05,0,-24,-9.3333,0
0.00023551,0,0,0,-24,-10,0
0.00023482,0.049988,2.8241e-05,0,-23.75,-9.3333,0
0.00023517,0,0,0,-23.75,-10,0
0.0002346,0.049984,3.0614e-05,0,-23.5,-9.3333,0
0.00023488,0,0,0,-23.5,-10,0
0.00023441,0.049979,3.2452e-05,0,-23.25,-9.3333,0
0.00023463,0,0,0,-23.25,-10,0
0.00023423,0.049974,3.3888e-05,0,-23,-9.3333,0
0.0002344,0,0,0,-23,-10,0
0.00023406,0.049969,3.497e-05,0,-22.75,-9.3333,0
0.0002342,0,0,0,-22.75,-10,0
0.00023391,0.049963,3.58e-05,0,-22.5,-9.3333,0
0.00023401,0,0,0,-22.5,-10,0
0.00023376,0.049958,3.6369e-05,0,-22.25,-9.3333,0
0.00023384,0,0,0,-22.25,-10,0
0.00023361,0.049952,3.6784e-05,0,-22,-9.3333,0
0.00023368,0,0,0,-22,-10,0
0.00023347,0.049946,3.6975e-05,0,-21.75,-9.3333,0
0.00023352,0,0,0,-21.75,-10,0
0.00023333,0.049941,3.7055e-05,0,-21.5,-9.3333,0
0.00023337,0,0,0,-21.5,-10,0
0.0002332,0.049935,3.6928e-05,0,-21.25,-9.3333,0
0.00023322,0,0,0,-21.25,-10,0
0.00023306,0.049929,3.6696e-05,0,-21,-9.3333,0
0.00023307,0,0,0,-21,-10,0
0.00023291,0.049924,3.6268e-05,0,-20.75,-9.3333,0
0.00023292,0,0,0,-20.75,-10,0
0.00023277,0.049918,3.5729e-05,0,-20.5,-9.3333,0
0.00023277,0,0,0,-20.5,-10,0
0.00023262,0.049913,3.5005e-05,0,-20.25,-9.3333,0
0.00023261,0,0,0,-20.25,-10,0
0.00023246,0.049909,3.417e-05,0,-20,-9.3333,0
0.00023245,0,0,0,-20,-10,0
0.0002323,0.049904,3.3142e-05,0,-19.75,-9.3333,0
0.00023228,0,0,0,-19.75,-10,0
0.00023213,0.0499,3.2013e-05,0,-19.5,-9.3333,0
0.00023209,0,0,0,-19.5,-10,0
0.00023194,0.049897,3.0709e-05,0,-19.25,-9.3333,0
0.0002319,0,0,0,-19.25,-10,0
0.00023174,0.049893,2.9254e-05,0,-19,-9.3333,0
0.0002317,0,0,0,-19,-10,0
0.00023153,0.049891,2.7694e-05,0,-18.75,-9.3333,0
0.00023148,0,0,0,-18.75,-10,0
0.00023131,0.049889,2.5947e-05,0,-18.5,-9.3333,0
0.00023124,0,0,0,-18.5,-10,0
0.00023106,0.049888,2.4075e-05,0,-18.25,-9.3333,0
0.00023099,0,0,0,-18.25,-10,0
0.0002308,0.049887,2.2074e-05,0,-18,-9.3333,0
0.00023071,0,0,0,-18,-10,0
0.00023051,0.049888,1.9784e-05,0,-17.75,-9.3333,0
0.00023041,0,0,0,-17.75,-10,0
0.00023019,0.049889,1.7579e-05,0,-17.5,-9.3333,0
0.00023009,0,0,0,-17.5,-10,0
0.00022985,0.049891,1.5077e-05,0,-17.25,-9.3333,0
0.00022973,0,0,0,-17.25,-10,0
0.00022948,0.049894,1.2258e-05,0,-17,-9.3333,0
0.00022935,0,0,0,-17,-10,0
0.00022907,0.049898,9.5507e-06,0,-16.75,-9.3333,0
0.00022893,0,0,0,-16.75,-10,0
0.00022863,0.049903,6.7304e-06,0,-16.5,-9.3333,0
0.00022847,0,0,0,-16.5,-10,0
0.00022812,0.049909,3.1111e-06,0,-16.25,-9.3333,0
0.00022792,0,0,0,-16.25,-10,0
0.00022757,0.049917,-1.0067e-06,0,-16,-9.3333,0
0.00022734,0,0,0,-16,-10,0
0.000227,0.049926,-5.4013e-06,0,-15.75,-9.3333,0
0.00022676,0,0,0,-15.75,-10,0
0.00022637,0.049936,-9.6975e-06,0,-15.5,-9.3333,0
0.00022611,0,0,0,-15.5,-10,0
0.00022568,0.049948,-1.4375e-05,0,-15.25,-9.3333,0
0.0002254,0,0,0,-15.25,-10,0
0.00022493,0.049962,-1.9237e-05,0,-15,-9.3333,0
0.00022462,0,0,0,-15,-10,0
0.00022409,0.049978,-2.4575e-05,0,-14.75,-9.3333,0
0.00022375,0,0,0,-14.75,-10,0
0.00022318,0.049996,-3.0079e-05,0,-14.5,-9.3333,0
0.00022281,0,0,0,-14.5,-10,0
0.00022219,0.050015,-3.5994e-05,0,-14.25,-9.3333,0
0.00022178,0,0,0,-14.25,-10,0
0.00022111,0.050037,-4.2149e-05,0,-14,-9.3333,0
0.00022065,0,0,0,-14,-10,0
0.00021993,0.05006,-4.9091e-05,0,-13.75,-9.3333,0
0.00021942,0,0,0,-13.75,-10,0
0.00021864,0.050087,-5.6341e-05,0,-13.5,-9.3333,0
0.00021807,0,0,0,-13.5,-10,0
0.00021723,0.050116,-6.4541e-05,0,-13.25,-9.3333,0
0.0002166,0,0,0,-13.25,-10,0
0.0002157,0.050148,-7.2851e-05,0,-13,-9.3333,0
0.00021498,0,0,0,-13,-10,0
0.00021403,0.050183,-8.2637e-05,0,-12.75,-9.3333,0
0.00021323,0,0,0,-12.75,-10,0
0.00021221,0.050222,-9.2471e-05,0,-12.5,-9.3333,0
0.00021128,0,0,0,-12.5,-10,0
0.00021023,0.050263,-0.00010457,0,-12.25,-9.3333,0
0.00020917,0,0,0,-12.25,-10,0
0.00020808,0.050309,-0.00011641,0,-12,-9.3333,0
0.00020683,0,0,0,-12,-10,0
0.00020573,0.050357,-0.0001317,0,-11.75,-9.3333,0
0.00020427,0,0,0,-11.75,-10,0
0.00020323,0.050413,-0.00014667,0,-11.5,-9.3333,0
0.00020146,0,0,0,-11.5,-10,0
0.00020041,0.050469,-0.00016659,0,-11.25,-9.3333,0
0.00019829,0,0,0,-11.25,-10,0
0.00019763,0.050536,-0.00018691,0,-11,-9.3333,0
0.00019504,0,0,0,-11,-10,0
