"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00020573,0.049998,9.2214e-06,0,-24.75,-9.3333,0
0.00020672,0,0,0,-24.75,-10,0
0.00020608,0.05,0,0,-25,-9.3333,0
0.00020733,0.023084,0,0,-25,-10,0
0.00020527,0.049999,1.4644e-05,0,-24.5,-9.3333,0
0.00020595,0,0,0,-24.5,-10,0
0.00020499,0.049997,1.8545e-05,0,-24.25,-9.3333,0
0.00020552,0,0,0,-24.25,-10,0
0.00020466,0.049995,2.1537e-05,0,-24,-9.3333,0
0.00020506,0,0,0,-24,-10,0
0.00020436,0.049992,2.3665e-05,0,-23.75,-9.3333,0
0.00020465,0,0,0,-23.75,-10,0
0.00020405,0.04999,2.5127e-05,0,-23.5,-9.3333,0
0.00020427,0,0,0,-23.5,-10,0
0.00020375,0.049987,2.6088e-05,0,-23.25,-9.3333,0
0.00020391,0,0,0,-23.25,-10,0
0.00020345,0.049985,2.6678e-05,0,-23,-9.3333,0
0.00020355,0,0,0,-23,-10,0
0.00020314,0.049982,2.697e-05,0,-22.75,-9.3333,0
0.00020321,0,0,0,-22.75,-10,0
0.00020282,0.04998,2.7028e-05,0,-22.5,-9.3333,0
0.00020286,0,0,0,-22.5,-10,0
0.00020249,0.049978,2.6933e-05,0,-22.25,-9.3333,0
0.00020251,0,0,0,-22.25,-10,0
0.00020215,0.049976,2.6684e-05,0,-22,-9.3333,0
0.00020215,0,0,0,-22,-10,0
0.0002018,0.049974,2.635e-05,0,-21.75,-9.3333,0
0.00020178,0,0,0,-21.75,-10,0
0.00020143,0.049972,2.5958e-05,0,-21.5,-9.3333,0
0.00020139,0,0,0,-21.5,-10,0
0.00020104,0.049971,2.5469e-05,0,-21.25,-9.3333,0
0.00020099,0,0,0,-21.25,-10,0
0.00020062,0.049969,2.4977e-05,0,-21,-9.3333,0
0.00020057,0,0,0,-21,-10,0
0.00020019,0.049968,2.4398e-05,0,-20.75,-9.3333,0
0.00020013,0,0,0,-20.75,-10,0
0.00019974,0.049967,2.3789e-05,0,-20.5,-9.3333,0
0.00019966,0,0,0,-20.5,-10,0
0.00019925,0.049967,2.3108e-05,0,-20.25,-9.3333,0
0.00019917,0,0,0,-20.25,-10,0
0.00019874,0.049966,2.2386e-05,0,-20,-9.3333,0
0.00019865,0,0,0,-20,-10,0
0.00019821,0.049966,2.1528e-05,0,-19.75,-9.3333,0
0.0001981,0,0,0,-19.75,-10,0
0.00019763,0.049967,2.068e-05,0,-19.5,-9.3333,0
0.00019752,0,0,0,-19.5,-10,0
0.00019703,0.049967,1.9652e-05,0,-19.25,-9.3333,0
0.0001969,0,0,0,-19.25,-10,0
0.00019638,0.049968,1.8562e-05,0,-19,-9.3333,0
0.00019625,0,0,0,-19,-10,0
0.0001957,0.049969,1.7382e-05,0,-18.75,-9.3333,0
0.00019555,0,0,0,-18.75,-10,0
0.00019498,0.049971,1.6061e-05,0,-18.5,-9.3333,0
0.00019482,0,0,0,-18.5,-10,0
0.00019421,0.049974,1.4588e-05,0,-18.25,-9.3333,0
0.00019404,0,0,0,-18.25,-10,0
0.0001934,0.049976,1.298e-05,0,-18,-9.3333,0
0.00019321,0,0,0,-18,-10,0
0.00019253,0.04998,1.1221e-05,0,-17.75,-9.3333,0
0.00019233,0,0,0,-17.75,-10,0
0.00019161,0.049984,9.2808e-06,0,-17.5,-9.3333,0
0.00019139,0,0,0,-17.5,-10,0
0.00019063,0.049989,7.1262e-06,0,-17.25,-9.3333,0
0.00019039,0,0,0,-17.25,-10,0
0.00018959,0.049995,4.7165e-06,0,-17,-9.3333,0
0.00018933,0,0,0,-17,-10,0
0.00018848,0.050001,2.0798e-06,0,-16.75,-9.3333,0
0.0001882,0,0,0,-16.75,-10,0
0.0001873,0.050009,-8.019e-07,0,-16.5,-9.3333,0
0.000187,0,0,0,-16.5,-10,0
0.00018606,0.050018,-4.1174e-06,0,-16.25,-9.3333,0
0.00018574,0,0,0,-16.25,-10,0
0.00018473,0.050028,-7.3847e-06,0,-16,-9.3333,0
0.0001844,0,0,0,-16,-10,0
0.0001833,0.050039,-1.1191e-05,0,-15.75,-9.3333,0
0.00018293,0,0,0,-15.75,-10,0
0.00018178,0.050052,-1.5271e-05,0,-15.5,-9.3333,0
0.00018138,0,0,0,-15.5,-10,0
0.00018016,0.050065,-1.9812e-05,0,-15.25,-9.3333,0
0.00017973,0,0,0,-15.25,-10,0
0.00017844,0.050082,-2.4747e-05,0,-15,-9.3333,0
0.00017797,0,0,0,-15,-10,0
0.0001766,0.050099,-3.0292e-05,0,-14.75,-9.3333,0
0.0001761,0,0,0,-14.75,-10,0
0.00017464,0.050119,-3.6228e-05,0,-14.5,-9.3333,0
0.00017409,0,0,0,-14.5,-10,0
0.00017255,0.050141,-4.2808e-05,0,-14.25,-9.3333,0
0.00017196,0,0,0,-14.25,-10,0
0.00017032,0.050165,-4.9718e-05,0,-14,-9.3333,0
0.00016967,0,0,0,-14,-10,0
0.00016793,0.050192,-5.7587e-05,0,-13.75,-9.3333,0
0.00016723,0,0,0,-13.75,-10,0
0.00016539,0.050222,-6.5825e-05,0,-13.5,-9.3333,0
0.00016461,0,0,0,-13.5,-10,0
0.00016267,0.050254,-7.5347e-05,0,-13.25,-9.3333,0
0.00016182,0,0,0,-13.25,-10,0
0.00015976,0.050291,-8.4989e-05,0,-13,-9.3333,0
0.0001588,0,0,0,-13,-10,0
0.00015665,0.05033,-9.6515e-05,0,-12.75,-9.3333,0
0.00015559,0,0,0,-12.75,-10,0
0.00015331,0.050374,-0.00010805,0,-12.5,-9.3333,0
0.00015211,0,0,0,-12.5,-10,0
0.00014976,0.050421,-0.00012254,0,-12.25,-9.3333,0
0.00014841,0,0,0,-12.25,-10,0
0.00014594,0.050474,-0.00013655,0,-12,-9.3333,0
0.00014435,0,0,0,-12,-10,0
0.00014185,0.050531,-0.00015493,0,-11.75,-9.3333,0
0.00014005,0,0,0,-11.75,-10,0
0.00013751,0.050594,-0.00017239,0,-11.5,-9.3333,0
0.00013534,0,0,0,-11.5,-10,0
0.00013279,0.050661,-0.00019645,0,-11.25,-9.3333,0
0.00013024,0,0,0,-11.25,-10,0
0.00012802,0.050738,-0.00022,0,-11,-9.3333,0
0.00012491,0,0,0,-11,-10,0
0.00012246,0.050813,-0.00025134,0,-10.75,-9.3333,0
0.00011864,0,0,0,-10.75,-10,0
0.00011783,0.050913,-0.00028845,0,-10.5,-9.3333,0
0.00011349,0,0,0,-10.5,-10,0
0.00011075,0.050994,-0.00033554,0,-10.25,-9.3333,0
0.00010475,0,0,0,-10.25,-10,0
0.00010257,0.051101,-0.00038061,-2.7892e-24,-10,-9.3333,0
0.00010719,0,0,0,-10,-10,0
0.00020481,0.050001,5.2288e-06,0,-24.75,-8.6667,0
0.00020487,0.05,0,0,-25,-8.6667,0
0.0002047,0.050003,8.0704e-06,0,-24.5,-8.6667,0
0.00020456,0.050006,1.0332e-05,0,-24.25,-8.6667,0
0.00020438,0.05001,1.1858e-05,0,-24,-8.6667,0
0.00020418,0.050014,1.2799e-05,0,-23.75,-8.6667,0
0.00020396,0.050018,1.3316e-05,0,-23.5,-8.6667,0
0.00020373,0.050023,1.3441e-05,0,-23.25,-8.6667,0
0.00020348,0.050028,1.3302e-05,0,-23,-8.6667,0
0.00020321,0.050033,1.2899e-05,0,-22.75,-8.6667,0
