"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
9.5456e-05,0.049998,9.8218e-06,0,-24.75,-9.3333,0
9.6485e-05,0,0,0,-24.75,-10,0
9.5799e-05,0.05,0,0,-25,-9.3333,0
9.7089e-05,0.023084,0,0,-25,-10,0
9.5012e-05,0.049998,1.5822e-05,0,-24.5,-9.3333,0
9.5723e-05,0,0,0,-24.5,-10,0
9.4756e-05,0.049996,2.0277e-05,0,-24.25,-9.3333,0
9.5331e-05,0,0,0,-24.25,-10,0
9.4471e-05,0.049993,2.38e-05,0,-24,-9.3333,0
9.4908e-05,0,0,0,-24,-10,0
9.4216e-05,0.04999,2.6413e-05,0,-23.75,-9.3333,0
9.455e-05,0,0,0,-23.75,-10,0
9.3975e-05,0.049986,2.8353e-05,0,-23.5,-9.3333,0
9.4231e-05,0,0,0,-23.5,-10,0
9.3749e-05,0.049982,2.9735e-05,0,-23.25,-9.3333,0
9.3946e-05,0,0,0,-23.25,-10,0
9.3531e-05,0.049978,3.0719e-05,0,-23,-9.3333,0
9.3682e-05,0,0,0,-23,-10,0
9.3321e-05,0.049974,3.1347e-05,0,-22.75,-9.3333,0
9.3437e-05,0,0,0,-22.75,-10,0
9.3114e-05,0.04997,3.1704e-05,0,-22.5,-9.3333,0
9.3201e-05,0,0,0,-22.5,-10,0
9.291e-05,0.049966,3.1785e-05,0,-22.25,-9.3333,0
9.2974e-05,0,0,0,-22.25,-10,0
9.2705e-05,0.049962,3.1693e-05,0,-22,-9.3333,0
9.275e-05,0,0,0,-22,-10,0
9.2498e-05,0.049959,3.1324e-05,0,-21.75,-9.3333,0
9.2528e-05,0,0,0,-21.75,-10,0
9.2287e-05,0.049955,3.0847e-05,0,-21.5,-9.3333,0
9.2303e-05,0,0,0,-21.5,-10,0
9.2071e-05,0.049952,3.0118e-05,0,-21.25,-9.3333,0
9.2076e-05,0,0,0,-21.25,-10,0
9.1848e-05,0.049949,2.9256e-05,0,-21,-9.3333,0
9.1843e-05,0,0,0,-21,-10,0
9.1618e-05,0.049946,2.823e-05,0,-20.75,-9.3333,0
9.1603e-05,0,0,0,-20.75,-10,0
9.1377e-05,0.049944,2.7054e-05,0,-20.5,-9.3333,0
9.1352e-05,0,0,0,-20.5,-10,0
9.1125e-05,0.049942,2.5736e-05,0,-20.25,-9.3333,0
9.1092e-05,0,0,0,-20.25,-10,0
9.0859e-05,0.049941,2.4302e-05,0,-20,-9.3333,0
9.0818e-05,0,0,0,-20,-10,0
9.058e-05,0.04994,2.2739e-05,0,-19.75,-9.3333,0
9.0531e-05,0,0,0,-19.75,-10,0
9.0285e-05,0.04994,2.1068e-05,0,-19.5,-9.3333,0
9.0226e-05,0,0,0,-19.5,-10,0
8.9971e-05,0.049941,1.9284e-05,0,-19.25,-9.3333,0
8.9905e-05,0,0,0,-19.25,-10,0
8.9637e-05,0.049942,1.7436e-05,0,-19,-9.3333,0
8.9562e-05,0,0,0,-19,-10,0
8.9283e-05,0.049944,1.5518e-05,0,-18.75,-9.3333,0
8.9198e-05,0,0,0,-18.75,-10,0
8.8903e-05,0.049947,1.356e-05,0,-18.5,-9.3333,0
8.8808e-05,0,0,0,-18.5,-10,0
8.8498e-05,0.04995,1.1541e-05,0,-18.25,-9.3333,0
8.8393e-05,0,0,0,-18.25,-10,0
8.8064e-05,0.049954,9.5372e-06,0,-18,-9.3333,0
8.7948e-05,0,0,0,-18,-10,0
8.7599e-05,0.049959,7.4881e-06,0,-17.75,-9.3333,0
8.7471e-05,0,0,0,-17.75,-10,0
8.7099e-05,0.049965,5.3509e-06,0,-17.5,-9.3333,0
8.6959e-05,0,0,0,-17.5,-10,0
8.6563e-05,0.049971,3.0821e-06,0,-17.25,-9.3333,0
8.641e-05,0,0,0,-17.25,-10,0
8.5987e-05,0.049978,8.3385e-07,0,-17,-9.3333,0
8.5817e-05,0,0,0,-17,-10,0
8.5359e-05,0.049986,-1.7612e-06,0,-16.75,-9.3333,0
8.5168e-05,0,0,0,-16.75,-10,0
8.4695e-05,0.049996,-4.4217e-06,0,-16.5,-9.3333,0
8.4487e-05,0,0,0,-16.5,-10,0
8.3975e-05,0.050006,-7.4888e-06,0,-16.25,-9.3333,0
8.375e-05,0,0,0,-16.25,-10,0
8.32e-05,0.050017,-1.0574e-05,0,-16,-9.3333,0
8.295e-05,0,0,0,-16,-10,0
8.2363e-05,0.050029,-1.3982e-05,0,-15.75,-9.3333,0
8.2095e-05,0,0,0,-15.75,-10,0
