"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00015951,0.049998,9.2985e-06,0,-24.75,-9.3333,0
0.0001605,0,0,0,-24.75,-10,0
0.00015986,0.05,0,0,-25,-9.3333,0
0.00016111,0.023084,0,0,-25,-10,0
0.00015905,0.049999,1.4881e-05,0,-24.5,-9.3333,0
0.00015973,0,0,0,-24.5,-10,0
0.00015877,0.049996,1.8913e-05,0,-24.25,-9.3333,0
0.00015931,0,0,0,-24.25,-10,0
0.00015845,0.049994,2.2117e-05,0,-24,-9.3333,0
0.00015885,0,0,0,-24,-10,0
0.00015815,0.049992,2.4444e-05,0,-23.75,-9.3333,0
0.00015845,0,0,0,-23.75,-10,0
0.00015785,0.049989,2.6126e-05,0,-23.5,-9.3333,0
0.00015807,0,0,0,-23.5,-10,0
0.00015756,0.049986,2.7354e-05,0,-23.25,-9.3333,0
0.00015772,0,0,0,-23.25,-10,0
0.00015727,0.049983,2.821e-05,0,-23,-9.3333,0
0.00015739,0,0,0,-23,-10,0
0.00015698,0.04998,2.8844e-05,0,-22.75,-9.3333,0
0.00015705,0,0,0,-22.75,-10,0
0.00015668,0.049977,2.9262e-05,0,-22.5,-9.3333,0
0.00015672,0,0,0,-22.5,-10,0
0.00015637,0.049974,2.9545e-05,0,-22.25,-9.3333,0
0.00015639,0,0,0,-22.25,-10,0
0.00015604,0.049971,2.9712e-05,0,-22,-9.3333,0
0.00015605,0,0,0,-22,-10,0
0.00015571,0.049968,2.9765e-05,0,-21.75,-9.3333,0
0.0001557,0,0,0,-21.75,-10,0
0.00015536,0.049964,2.9747e-05,0,-21.5,-9.3333,0
0.00015534,0,0,0,-21.5,-10,0
0.000155,0.049961,2.9637e-05,0,-21.25,-9.3333,0
0.00015496,0,0,0,-21.25,-10,0
0.00015461,0.049959,2.9437e-05,0,-21,-9.3333,0
0.00015456,0,0,0,-21,-10,0
0.00015421,0.049956,2.9182e-05,0,-20.75,-9.3333,0
0.00015415,0,0,0,-20.75,-10,0
0.00015378,0.049953,2.8835e-05,0,-20.5,-9.3333,0
0.00015371,0,0,0,-20.5,-10,0
0.00015333,0.04995,2.8402e-05,0,-20.25,-9.3333,0
0.00015325,0,0,0,-20.25,-10,0
0.00015286,0.049948,2.7927e-05,0,-20,-9.3333,0
0.00015277,0,0,0,-20,-10,0
0.00015235,0.049946,2.7302e-05,0,-19.75,-9.3333,0
0.00015225,0,0,0,-19.75,-10,0
0.00015182,0.049944,2.6629e-05,0,-19.5,-9.3333,0
0.00015171,0,0,0,-19.5,-10,0
0.00015126,0.049942,2.5838e-05,0,-19.25,-9.3333,0
0.00015114,0,0,0,-19.25,-10,0
0.00015066,0.049941,2.4911e-05,0,-19,-9.3333,0
0.00015052,0,0,0,-19,-10,0
0.00015002,0.04994,2.3847e-05,0,-18.75,-9.3333,0
0.00014988,0,0,0,-18.75,-10,0
