"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00016973,0.049998,9.2677e-06,0,-24.75,-9.3333,0
0.00017073,0,0,0,-24.75,-10,0
0.00017008,0.05,0,0,-25,-9.3333,0
0.00017134,0.023084,0,0,-25,-10,0
0.00016927,0.049999,1.4788e-05,0,-24.5,-9.3333,0
0.00016995,0,0,0,-24.5,-10,0
0.00016899,0.049996,1.8704e-05,0,-24.25,-9.3333,0
0.00016953,0,0,0,-24.25,-10,0
0.00016867,0.049994,2.1817e-05,0,-24,-9.3333,0
0.00016907,0,0,0,-24,-10,0
0.00016837,0.049992,2.4019e-05,0,-23.75,-9.3333,0
0.00016867,0,0,0,-23.75,-10,0
0.00016807,0.049989,2.5562e-05,0,-23.5,-9.3333,0
0.00016829,0,0,0,-23.5,-10,0
0.00016778,0.049987,2.6609e-05,0,-23.25,-9.3333,0
0.00016794,0,0,0,-23.25,-10,0
0.00016748,0.049984,2.7288e-05,0,-23,-9.3333,0
0.0001676,0,0,0,-23,-10,0
0.00016718,0.049981,2.771e-05,0,-22.75,-9.3333,0
0.00016726,0,0,0,-22.75,-10,0
0.00016688,0.049979,2.7926e-05,0,-22.5,-9.3333,0
0.00016692,0,0,0,-22.5,-10,0
0.00016656,0.049976,2.8018e-05,0,-22.25,-9.3333,0
0.00016658,0,0,0,-22.25,-10,0
0.00016623,0.049974,2.7968e-05,0,-22,-9.3333,0
0.00016624,0,0,0,-22,-10,0
0.00016589,0.049971,2.7847e-05,0,-21.75,-9.3333,0
0.00016588,0,0,0,-21.75,-10,0
0.00016554,0.049969,2.7627e-05,0,-21.5,-9.3333,0
0.00016551,0,0,0,-21.5,-10,0
0.00016516,0.049967,2.7338e-05,0,-21.25,-9.3333,0
0.00016513,0,0,0,-21.25,-10,0
0.00016477,0.049965,2.6982e-05,0,-21,-9.3333,0
0.00016472,0,0,0,-21,-10,0
0.00016436,0.049963,2.6534e-05,0,-20.75,-9.3333,0
0.0001643,0,0,0,-20.75,-10,0
0.00016392,0.049961,2.6026e-05,0,-20.5,-9.3333,0
0.00016385,0,0,0,-20.5,-10,0
0.00016346,0.04996,2.5405e-05,0,-20.25,-9.3333,0
0.00016338,0,0,0,-20.25,-10,0
0.00016298,0.049958,2.4739e-05,0,-20,-9.3333,0
0.00016289,0,0,0,-20,-10,0
0.00016246,0.049957,2.3946e-05,0,-19.75,-9.3333,0
0.00016236,0,0,0,-19.75,-10,0
0.00016192,0.049957,2.3072e-05,0,-19.5,-9.3333,0
0.00016181,0,0,0,-19.5,-10,0
0.00016134,0.049956,2.2096e-05,0,-19.25,-9.3333,0
0.00016122,0,0,0,-19.25,-10,0
0.00016073,0.049957,2.1007e-05,0,-19,-9.3333,0
0.0001606,0,0,0,-19,-10,0
0.00016008,0.049957,1.9775e-05,0,-18.75,-9.3333,0
0.00015993,0,0,0,-18.75,-10,0
0.00015939,0.049958,1.8449e-05,0,-18.5,-9.3333,0
0.00015923,0,0,0,-18.5,-10,0
0.00015865,0.049959,1.6935e-05,0,-18.25,-9.3333,0
0.00015849,0,0,0,-18.25,-10,0
0.00015787,0.049961,1.5292e-05,0,-18,-9.3333,0
0.00015769,0,0,0,-18,-10,0
0.00015704,0.049964,1.3485e-05,0,-17.75,-9.3333,0
0.00015685,0,0,0,-17.75,-10,0
0.00015616,0.049967,1.1462e-05,0,-17.5,-9.3333,0
