"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00017514,0.049998,9.2307e-06,0,-24.75,-9.3333,0
0.00017613,0,0,0,-24.75,-10,0
0.00017549,0.05,0,0,-25,-9.3333,0
0.00017674,0.023084,0,0,-25,-10,0
0.00017468,0.049999,1.4723e-05,0,-24.5,-9.3333,0
0.00017536,0,0,0,-24.5,-10,0
0.0001744,0.049996,1.8682e-05,0,-24.25,-9.3333,0
0.00017493,0,0,0,-24.25,-10,0
0.00017407,0.049994,2.1778e-05,0,-24,-9.3333,0
0.00017447,0,0,0,-24,-10,0
0.00017377,0.049992,2.4021e-05,0,-23.75,-9.3333,0
0.00017406,0,0,0,-23.75,-10,0
0.00017347,0.049989,2.5583e-05,0,-23.5,-9.3333,0
0.00017368,0,0,0,-23.5,-10,0
0.00017317,0.049987,2.668e-05,0,-23.25,-9.3333,0
0.00017333,0,0,0,-23.25,-10,0
0.00017287,0.049984,2.7388e-05,0,-23,-9.3333,0
0.00017298,0,0,0,-23,-10,0
0.00017256,0.049981,2.7835e-05,0,-22.75,-9.3333,0
0.00017264,0,0,0,-22.75,-10,0
0.00017225,0.049979,2.8088e-05,0,-22.5,-9.3333,0
0.00017229,0,0,0,-22.5,-10,0
0.00017193,0.049976,2.8184e-05,0,-22.25,-9.3333,0
0.00017195,0,0,0,-22.25,-10,0
0.00017159,0.049973,2.8182e-05,0,-22,-9.3333,0
0.00017159,0,0,0,-22,-10,0
0.00017124,0.049971,2.8092e-05,0,-21.75,-9.3333,0
0.00017123,0,0,0,-21.75,-10,0
0.00017088,0.049968,2.7911e-05,0,-21.5,-9.3333,0
0.00017085,0,0,0,-21.5,-10,0
0.00017049,0.049966,2.7686e-05,0,-21.25,-9.3333,0
0.00017045,0,0,0,-21.25,-10,0
0.00017009,0.049964,2.7382e-05,0,-21,-9.3333,0
0.00017004,0,0,0,-21,-10,0
0.00016966,0.049962,2.699e-05,0,-20.75,-9.3333,0
0.0001696,0,0,0,-20.75,-10,0
0.00016921,0.04996,2.6571e-05,0,-20.5,-9.3333,0
0.00016914,0,0,0,-20.5,-10,0
0.00016874,0.049958,2.6027e-05,0,-20.25,-9.3333,0
0.00016866,0,0,0,-20.25,-10,0
0.00016824,0.049957,2.5445e-05,0,-20,-9.3333,0
0.00016815,0,0,0,-20,-10,0
0.00016771,0.049956,2.4767e-05,0,-19.75,-9.3333,0
0.00016761,0,0,0,-19.75,-10,0
0.00016715,0.049955,2.4003e-05,0,-19.5,-9.3333,0
0.00016703,0,0,0,-19.5,-10,0
0.00016655,0.049954,2.3124e-05,0,-19.25,-9.3333,0
0.00016643,0,0,0,-19.25,-10,0
0.00016592,0.049954,2.2205e-05,0,-19,-9.3333,0
0.00016578,0,0,0,-19,-10,0
0.00016525,0.049954,2.1065e-05,0,-18.75,-9.3333,0
0.0001651,0,0,0,-18.75,-10,0
0.00016453,0.049954,1.9879e-05,0,-18.5,-9.3333,0
0.00016438,0,0,0,-18.5,-10,0
0.00016378,0.049955,1.8522e-05,0,-18.25,-9.3333,0
0.00016361,0,0,0,-18.25,-10,0
0.00016298,0.049956,1.6988e-05,0,-18,-9.3333,0
0.00016279,0,0,0,-18,-10,0
0.00016212,0.049958,1.5267e-05,0,-17.75,-9.3333,0
0.00016192,0,0,0,-17.75,-10,0
0.00016121,0.049961,1.3372e-05,0,-17.5,-9.3333,0
0.000161,0,0,0,-17.5,-10,0
0.00016025,0.049964,1.1259e-05,0,-17.25,-9.3333,0
0.00016002,0,0,0,-17.25,-10,0
0.00015922,0.049969,8.9003e-06,0,-17,-9.3333,0
0.00015897,0,0,0,-17,-10,0
0.00015813,0.049974,6.2946e-06,0,-16.75,-9.3333,0
0.00015786,0,0,0,-16.75,-10,0
