"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00048097,0.049998,9.6632e-06,0,-24.75,-9.3333,0
0.00048199,0,0,0,-24.75,-10,0
0.00048131,0.05,0,0,-25,-9.3333,0
0.00048259,0.023084,0,0,-25,-10,0
0.00048052,0.049998,1.5564e-05,0,-24.5,-9.3333,0
0.00048123,0,0,0,-24.5,-10,0
0.00048026,0.049996,1.9882e-05,0,-24.25,-9.3333,0
0.00048082,0,0,0,-24.25,-10,0
0.00047996,0.049993,2.3296e-05,0,-24,-9.3333,0
0.00048039,0,0,0,-24,-10,0
0.0004797,0.04999,2.5838e-05,0,-23.75,-9.3333,0
0.00048002,0,0,0,-23.75,-10,0
0.00047944,0.049987,2.7682e-05,0,-23.5,-9.3333,0
0.00047969,0,0,0,-23.5,-10,0
0.0004792,0.049983,2.9007e-05,0,-23.25,-9.3333,0
0.00047938,0,0,0,-23.25,-10,0
0.00047896,0.04998,2.9845e-05,0,-23,-9.3333,0
0.0004791,0,0,0,-23,-10,0
0.00047872,0.049976,3.0427e-05,0,-22.75,-9.3333,0
0.00047883,0,0,0,-22.75,-10,0
0.00047849,0.049972,3.0807e-05,0,-22.5,-9.3333,0
0.00047856,0,0,0,-22.5,-10,0
0.00047825,0.049969,3.0907e-05,0,-22.25,-9.3333,0
0.00047831,0,0,0,-22.25,-10,0
0.00047801,0.049965,3.0789e-05,0,-22,-9.3333,0
0.00047805,0,0,0,-22,-10,0
0.00047777,0.049962,3.0525e-05,0,-21.75,-9.3333,0
0.00047779,0,0,0,-21.75,-10,0
0.00047752,0.049958,3.0227e-05,0,-21.5,-9.3333,0
0.00047752,0,0,0,-21.5,-10,0
0.00047726,0.049955,2.9823e-05,0,-21.25,-9.3333,0
0.00047725,0,0,0,-21.25,-10,0
0.00047699,0.049952,2.9187e-05,0,-21,-9.3333,0
0.00047697,0,0,0,-21,-10,0
0.00047671,0.04995,2.838e-05,0,-20.75,-9.3333,0
0.00047668,0,0,0,-20.75,-10,0
0.00047642,0.049947,2.7576e-05,0,-20.5,-9.3333,0
0.00047638,0,0,0,-20.5,-10,0
0.00047611,0.049945,2.677e-05,0,-20.25,-9.3333,0
0.00047606,0,0,0,-20.25,-10,0
0.00047578,0.049944,2.5796e-05,0,-20,-9.3333,0
0.00047572,0,0,0,-20,-10,0
0.00047543,0.049942,2.46e-05,0,-19.75,-9.3333,0
0.00047537,0,0,0,-19.75,-10,0
0.00047507,0.049941,2.3207e-05,0,-19.5,-9.3333,0
0.00047499,0,0,0,-19.5,-10,0
0.00047468,0.049941,2.1648e-05,0,-19.25,-9.3333,0
0.00047459,0,0,0,-19.25,-10,0
0.00047427,0.049941,2.0437e-05,0,-19,-9.3333,0
0.00047417,0,0,0,-19,-10,0
0.00047383,0.049942,1.911e-05,0,-18.75,-9.3333,0
0.00047372,0,0,0,-18.75,-10,0
0.00047336,0.049944,1.7161e-05,0,-18.5,-9.3333,0
0.00047324,0,0,0,-18.5,-10,0
0.00047285,0.049945,1.4519e-05,0,-18.25,-9.3333,0
0.00047273,0,0,0,-18.25,-10,0
0.00047232,0.049948,1.2094e-05,0,-18,-9.3333,0
