"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00018032,0.049999,9.2192e-06,0,-24.75,-9.3333,0
0.00018131,0,0,0,-24.75,-10,0
0.00018067,0.05,0,0,-25,-9.3333,0
0.00018192,0.023084,0,0,-25,-10,0
0.00017986,0.049999,1.4694e-05,0,-24.5,-9.3333,0
0.00018053,0,0,0,-24.5,-10,0
0.00017957,0.049997,1.8645e-05,0,-24.25,-9.3333,0
0.00018011,0,0,0,-24.25,-10,0
0.00017925,0.049995,2.1727e-05,0,-24,-9.3333,0
0.00017964,0,0,0,-24,-10,0
0.00017894,0.049992,2.3955e-05,0,-23.75,-9.3333,0
0.00017924,0,0,0,-23.75,-10,0
0.00017864,0.04999,2.5503e-05,0,-23.5,-9.3333,0
0.00017885,0,0,0,-23.5,-10,0
0.00017834,0.049987,2.658e-05,0,-23.25,-9.3333,0
0.00017849,0,0,0,-23.25,-10,0
0.00017804,0.049984,2.727e-05,0,-23,-9.3333,0
0.00017814,0,0,0,-23,-10,0
0.00017773,0.049982,2.7688e-05,0,-22.75,-9.3333,0
0.0001778,0,0,0,-22.75,-10,0
0.00017741,0.049979,2.7913e-05,0,-22.5,-9.3333,0
0.00017746,0,0,0,-22.5,-10,0
0.00017709,0.049976,2.7978e-05,0,-22.25,-9.3333,0
0.00017711,0,0,0,-22.25,-10,0
0.00017675,0.049974,2.7938e-05,0,-22,-9.3333,0
0.00017675,0,0,0,-22,-10,0
0.00017639,0.049971,2.7822e-05,0,-21.75,-9.3333,0
0.00017638,0,0,0,-21.75,-10,0
0.00017602,0.049969,2.7609e-05,0,-21.5,-9.3333,0
0.00017599,0,0,0,-21.5,-10,0
0.00017564,0.049967,2.7354e-05,0,-21.25,-9.3333,0
0.00017559,0,0,0,-21.25,-10,0
0.00017523,0.049965,2.7033e-05,0,-21,-9.3333,0
0.00017517,0,0,0,-21,-10,0
0.0001748,0.049963,2.6618e-05,0,-20.75,-9.3333,0
0.00017473,0,0,0,-20.75,-10,0
0.00017434,0.049961,2.618e-05,0,-20.5,-9.3333,0
0.00017427,0,0,0,-20.5,-10,0
0.00017386,0.04996,2.5619e-05,0,-20.25,-9.3333,0
0.00017378,0,0,0,-20.25,-10,0
0.00017336,0.049958,2.5014e-05,0,-20,-9.3333,0
0.00017326,0,0,0,-20,-10,0
0.00017282,0.049957,2.4315e-05,0,-19.75,-9.3333,0
0.00017271,0,0,0,-19.75,-10,0
0.00017225,0.049956,2.3534e-05,0,-19.5,-9.3333,0
0.00017213,0,0,0,-19.5,-10,0
0.00017165,0.049956,2.2624e-05,0,-19.25,-9.3333,0
0.00017152,0,0,0,-19.25,-10,0
0.00017101,0.049956,2.1691e-05,0,-19,-9.3333,0
0.00017087,0,0,0,-19,-10,0
0.00017033,0.049956,2.0531e-05,0,-18.75,-9.3333,0
0.00017018,0,0,0,-18.75,-10,0
0.00016961,0.049957,1.9305e-05,0,-18.5,-9.3333,0
0.00016945,0,0,0,-18.5,-10,0
0.00016885,0.049958,1.7936e-05,0,-18.25,-9.3333,0
0.00016867,0,0,0,-18.25,-10,0
0.00016804,0.049959,1.6393e-05,0,-18,-9.3333,0
0.00016785,0,0,0,-18,-10,0
0.00016718,0.049962,1.4655e-05,0,-17.75,-9.3333,0
0.00016697,0,0,0,-17.75,-10,0
0.00016626,0.049965,1.2712e-05,0,-17.5,-9.3333,0
0.00016604,0,0,0,-17.5,-10,0
0.00016528,0.049968,1.0577e-05,0,-17.25,-9.3333,0
0.00016505,0,0,0,-17.25,-10,0
0.00016425,0.049973,8.228e-06,0,-17,-9.3333,0
0.00016399,0,0,0,-17,-10,0
0.00016315,0.049978,5.61e-06,0,-16.75,-9.3333,0
0.00016287,0,0,0,-16.75,-10,0
0.00016197,0.049984,2.7295e-06,0,-16.5,-9.3333,0
0.00016167,0,0,0,-16.5,-10,0
0.00016073,0.049992,-4.8985e-07,0,-16.25,-9.3333,0
0.00016041,0,0,0,-16.25,-10,0
0.00015941,0.05,-3.8921e-06,0,-16,-9.3333,0
0.00015908,0,0,0,-16,-10,0
0.000158,0.05001,-7.8199e-06,0,-15.75,-9.3333,0
0.00015764,0,0,0,-15.75,-10,0
0.00015649,0.050022,-1.1786e-05,0,-15.5,-9.3333,0
0.0001561,0,0,0,-15.5,-10,0
0.00015487,0.050034,-1.6387e-05,0,-15.25,-9.3333,0
0.00015443,0,0,0,-15.25,-10,0
0.00015315,0.050049,-2.1447e-05,0,-15,-9.3333,0
0.00015268,0,0,0,-15,-10,0
0.00015132,0.050065,-2.6948e-05,0,-14.75,-9.3333,0
0.00015082,0,0,0,-14.75,-10,0
0.00014938,0.050084,-3.279e-05,0,-14.5,-9.3333,0
0.00014883,0,0,0,-14.5,-10,0
0.00014729,0.050104,-3.9344e-05,0,-14.25,-9.3333,0
0.00014669,0,0,0,-14.25,-10,0
0.00014506,0.050128,-4.6344e-05,0,-14,-9.3333,0
0.00014441,0,0,0,-14,-10,0
0.00014269,0.050153,-5.4164e-05,0,-13.75,-9.3333,0
0.00014198,0,0,0,-13.75,-10,0
0.00014015,0.050182,-6.2248e-05,0,-13.5,-9.3333,0
0.00013937,0,0,0,-13.5,-10,0
0.00013744,0.050213,-7.1616e-05,0,-13.25,-9.3333,0
0.00013658,0,0,0,-13.25,-10,0
0.00013454,0.050248,-8.1259e-05,0,-13,-9.3333,0
0.00013358,0,0,0,-13,-10,0
0.00013144,0.050286,-9.277e-05,0,-12.75,-9.3333,0
0.00013038,0,0,0,-12.75,-10,0
0.00012811,0.050329,-0.00010413,0,-12.5,-9.3333,0
0.0001269,0,0,0,-12.5,-10,0
0.00012456,0.050375,-0.00011827,0,-12.25,-9.3333,0
0.00012321,0,0,0,-12.25,-10,0
0.00012075,0.050426,-0.00013199,0,-12,-9.3333,0
0.00011917,0,0,0,-12,-10,0
0.00011668,0.050481,-0.0001502,0,-11.75,-9.3333,0
0.00011487,0,0,0,-11.75,-10,0
0.00011234,0.050543,-0.00016759,0,-11.5,-9.3333,0
0.00011016,0,0,0,-11.5,-10,0
0.00010763,0.050607,-0.00019138,0,-11.25,-9.3333,0
0.00010506,0,0,0,-11.25,-10,0
0.00010286,0.050683,-0.00021482,0,-11,-9.3333,0
9.9751e-05,0,0,0,-11,-10,0
