"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.00015341,0.049998,9.7979e-06,0,-24.75,-9.3333,0
0.00015444,0,0,0,-24.75,-10,0
0.00015376,0.05,0,0,-25,-9.3333,0
0.00015505,0.023084,0,0,-25,-10,0
0.00015297,0.049998,1.5736e-05,0,-24.5,-9.3333,0
0.00015367,0,0,0,-24.5,-10,0
0.00015271,0.049996,1.9997e-05,0,-24.25,-9.3333,0
0.00015328,0,0,0,-24.25,-10,0
0.00015243,0.049993,2.3385e-05,0,-24,-9.3333,0
0.00015286,0,0,0,-24,-10,0
0.00015217,0.04999,2.5757e-05,0,-23.75,-9.3333,0
0.0001525,0,0,0,-23.75,-10,0
0.00015192,0.049987,2.742e-05,0,-23.5,-9.3333,0
0.00015218,0,0,0,-23.5,-10,0
0.00015169,0.049983,2.848e-05,0,-23.25,-9.3333,0
0.00015189,0,0,0,-23.25,-10,0
0.00015147,0.04998,2.9135e-05,0,-23,-9.3333,0
0.00015162,0,0,0,-23,-10,0
0.00015126,0.049977,2.9375e-05,0,-22.75,-9.3333,0
0.00015137,0,0,0,-22.75,-10,0
0.00015105,0.049973,2.9394e-05,0,-22.5,-9.3333,0
0.00015113,0,0,0,-22.5,-10,0
0.00015084,0.04997,2.913e-05,0,-22.25,-9.3333,0
0.0001509,0,0,0,-22.25,-10,0
0.00015063,0.049968,2.8698e-05,0,-22,-9.3333,0
0.00015067,0,0,0,-22,-10,0
0.00015041,0.049965,2.8084e-05,0,-21.75,-9.3333,0
0.00015044,0,0,0,-21.75,-10,0
0.0001502,0.049963,2.7331e-05,0,-21.5,-9.3333,0
0.00015021,0,0,0,-21.5,-10,0
0.00014997,0.049961,2.6425e-05,0,-21.25,-9.3333,0
0.00014998,0,0,0,-21.25,-10,0
0.00014974,0.049959,2.5426e-05,0,-21,-9.3333,0
0.00014974,0,0,0,-21,-10,0
0.00014951,0.049958,2.4304e-05,0,-20.75,-9.3333,0
0.00014949,0,0,0,-20.75,-10,0
0.00014926,0.049957,2.3085e-05,0,-20.5,-9.3333,0
0.00014923,0,0,0,-20.5,-10,0
0.000149,0.049957,2.1795e-05,0,-20.25,-9.3333,0
0.00014896,0,0,0,-20.25,-10,0
0.00014872,0.049957,2.0396e-05,0,-20,-9.3333,0
0.00014868,0,0,0,-20,-10,0
0.00014843,0.049958,1.8929e-05,0,-19.75,-9.3333,0
0.00014838,0,0,0,-19.75,-10,0
0.00014813,0.049959,1.7355e-05,0,-19.5,-9.3333,0
0.00014807,0,0,0,-19.5,-10,0
0.0001478,0.049961,1.5695e-05,0,-19.25,-9.3333,0
0.00014774,0,0,0,-19.25,-10,0
0.00014746,0.049964,1.3966e-05,0,-19,-9.3333,0
0.00014738,0,0,0,-19,-10,0
0.00014709,0.049967,1.2103e-05,0,-18.75,-9.3333,0
0.00014701,0,0,0,-18.75,-10,0
0.0001467,0.049971,1.0185e-05,0,-18.5,-9.3333,0
0.00014661,0,0,0,-18.5,-10,0
0.00014628,0.049976,8.1305e-06,0,-18.25,-9.3333,0
0.00014618,0,0,0,-18.25,-10,0
0.00014584,0.049981,6.0686e-06,0,-18,-9.3333,0
0.00014572,0,0,0,-18,-10,0
0.00014536,0.049987,3.7724e-06,0,-17.75,-9.3333,0
0.00014524,0,0,0,-17.75,-10,0
0.00014484,0.049994,1.4743e-06,0,-17.5,-9.3333,0
0.00014471,0,0,0,-17.5,-10,0
0.00014427,0.050002,-1.1926e-06,0,-17.25,-9.3333,0
0.00014411,0,0,0,-17.25,-10,0
0.00014366,0.050011,-3.9498e-06,0,-17,-9.3333,0
0.00014346,0,0,0,-17,-10,0
0.00014304,0.050021,-6.9e-06,0,-16.75,-9.3333,0
0.00014284,0,0,0,-16.75,-10,0
0.00014236,0.050032,-9.8473e-06,0,-16.5,-9.3333,0
0.00014215,0,0,0,-16.5,-10,0
0.00014162,0.050044,-1.3151e-05,0,-16.25,-9.3333,0
0.00014138,0,0,0,-16.25,-10,0
0.00014083,0.050057,-1.6637e-05,0,-16,-9.3333,0
0.00014058,0,0,0,-16,-10,0
0.00013997,0.050072,-2.047e-05,0,-15.75,-9.3333,0
0.0001397,0,0,0,-15.75,-10,0
0.00013905,0.050088,-2.4507e-05,0,-15.5,-9.3333,0
0.00013875,0,0,0,-15.5,-10,0
0.00013806,0.050105,-2.8928e-05,0,-15.25,-9.3333,0
0.00013773,0,0,0,-15.25,-10,0
0.00013699,0.050125,-3.37e-05,0,-15,-9.3333,0
0.00013664,0,0,0,-15,-10,0
0.00013583,0.050145,-3.8949e-05,0,-14.75,-9.3333,0
0.00013545,0,0,0,-14.75,-10,0
