Predicted p,Predicted U:0,Predicted U:1,Predicted U:2,Points:0,Points:1,Points:2
0.00020756085,0.049919188,-9.577116e-05,4.3120046e-23,-24.75,-9.3333,0.0
0.00022644366,-0.00011563298,2.4509965e-05,9.513284000000001e-23,-24.75,-10.0,0.0
0.00020511364,0.050071392,5.0047995e-05,-3.8879003e-23,-25.0,-9.3333,0.0
0.00020010378,0.023266554,1.9579194e-05,3.6470617000000004e-24,-25.0,-10.0,0.0
0.00022384088,0.04972586,-5.9492653e-05,1.3342028e-23,-24.5,-9.3333,0.0
0.00021240667,3.7278514e-05,3.41665e-05,-8.6393774e-23,-24.5,-10.0,0.0
0.00021619961,0.04967636,3.407884e-05,-1.6287137999999999e-25,-24.25,-9.3333,0.0
0.00021848755,0.00026683975,-0.0002886611,-2.2007717e-23,-24.25,-10.0,0.0
0.00021252816,0.04985325,-3.8708706e-05,-1.8901082e-23,-24.0,-9.3333,0.0
0.00022270002,0.000106123276,7.4137235e-05,1.682634e-24,-24.0,-10.0,0.0
0.00022210133,0.049981296,0.0003917492,-4.3912668e-23,-23.75,-9.3333,0.0
0.00022348763,5.5444427e-05,-0.0002376595,-1.1625967e-23,-23.75,-10.0,0.0
0.00020852622,0.049945995,-0.00035803113,-1.8709760999999998e-23,-23.5,-9.3333,0.0
0.00021367356,-5.84824e-05,0.0001308797,9.462514e-23,-23.5,-10.0,0.0
0.00022449682,0.050112467,0.0002176608,7.835547e-23,-23.25,-9.3333,0.0
0.00021892106,0.00017565378,9.4805335e-05,1.13493355e-23,-23.25,-10.0,0.0
0.00019913603,0.050108075,4.5232824e-05,-3.720768e-23,-23.0,-9.3333,0.0
0.00023273008,-9.202724e-05,-1.1157244e-06,7.210186000000001e-23,-23.0,-10.0,0.0
0.00022819995,0.04990964,-0.00011159535,9.8258697e-23,-22.75,-9.3333,0.0
0.0002158875,0.00013927417,-2.6825815e-05,1.0198974e-23,-22.75,-10.0,0.0
0.0002058489,0.049982592,3.799965e-05,4.5123475e-23,-22.5,-9.3333,0.0
0.00022369444,0.00028292276,0.00026759692,7.527423999999999e-24,-22.5,-10.0,0.0
0.00022925806,0.049952917,-8.366519e-05,-1.7581803999999998e-23,-22.25,-9.3333,0.0
0.00020034846,0.00019486574,3.6760466e-05,6.7039306e-23,-22.25,-10.0,0.0
0.0002106512,0.05011892,-3.0747615e-06,-1.1195413e-23,-22.0,-9.3333,0.0
0.00021709473,-0.00032226508,0.00050054956,3.2545951999999997e-23,-22.0,-10.0,0.0
0.0002075531,0.049994662,9.651319e-05,-8.6377846e-23,-21.75,-9.3333,0.0
0.0002206129,0.0001002592,-0.00017485768,-7.49175e-23,-21.75,-10.0,0.0
0.00022396308,0.049767792,0.00053102174,1.2165006000000001e-22,-21.5,-9.3333,0.0
0.00020287234,-5.7573197e-05,4.197238e-05,-1.1894255400000001e-23,-21.5,-10.0,0.0
0.0002089377,0.04988078,-0.00023399084,-5.347293000000001e-23,-21.25,-9.3333,0.0
0.00022582748,-0.00017697026,-6.516138e-05,7.513288e-23,-21.25,-10.0,0.0
0.00021341385,0.04995384,0.00010539894,-5.476507e-23,-21.0,-9.3333,0.0
0.00022601627,0.00022540754,-0.00028867438,1.6012564e-23,-21.0,-10.0,0.0
0.00020413064,0.04998312,-4.703412e-05,-6.463621e-23,-20.75,-9.3333,0.0
0.0002217775,0.00024077296,4.8435293e-05,5.2760743e-23,-20.75,-10.0,0.0
0.00022407187,0.05005966,-0.00012966432,-1.3378790000000002e-23,-20.5,-9.3333,0.0
0.00021962746,0.00021509267,-6.0461927e-05,5.0111474e-24,-20.5,-10.0,0.0
0.00021406208,0.049795173,0.0002851009,3.6393220000000006e-23,-20.25,-9.3333,0.0
0.00022990008,1.7499202e-05,-0.00036530395,-1.3305671e-22,-20.25,-10.0,0.0
0.0002163838,0.049702447,-0.0001582334,-3.4450073e-23,-20.0,-9.3333,0.0
0.00021744375,-3.6608428e-05,-2.5468413e-05,-2.6374156999999998e-23,-20.0,-10.0,0.0
0.00020991529,0.050082874,0.00038280158,-8.684437000000001e-23,-19.75,-9.3333,0.0
0.00021333303,-9.633717e-05,0.000102791004,-6.794499399999999e-23,-19.75,-10.0,0.0
0.00021066988,0.049861334,-2.5951304e-06,-1.6736044e-23,-19.5,-9.3333,0.0
0.00020879804,1.3300218e-05,2.9670075e-05,-6.393609000000001e-23,-19.5,-10.0,0.0
0.00021157542,0.049517732,5.1700976e-05,-7.199435e-24,-19.25,-9.3333,0.0
0.00022739977,-0.0001450833,-4.8259273e-05,8.1432174e-23,-19.25,-10.0,0.0
0.00022187256,0.04999979,1.6056001e-06,4.9278939999999996e-24,-19.0,-9.3333,0.0
0.0002118695,-0.00025326246,7.6567056e-05,-7.5754477e-23,-19.0,-10.0,0.0
0.00021932312,0.04990433,-0.00014470867,-1.9841859e-23,-18.75,-9.3333,0.0
0.00020292739,1.2881355e-06,0.00025900826,-2.8064572e-23,-18.75,-10.0,0.0
0.00021295692,0.04970383,0.00017297536,-4.6373787999999997e-23,-18.5,-9.3333,0.0
0.00020453751,1.245935e-05,4.3172855e-05,-1.2611658e-23,-18.5,-10.0,0.0
0.0002003886,0.049704775,1.3850331e-05,2.1899902e-23,-18.25,-9.3333,0.0
0.00022788893,0.00018557347,0.0003171414,-1.7922768e-23,-18.25,-10.0,0.0
0.00021968829,0.049956143,6.612751e-05,-1.0076821e-23,-18.0,-9.3333,0.0
0.00019702694,-0.00012245204,-9.391905e-05,1.4969727e-23,-18.0,-10.0,0.0
