Predicted p,Predicted U:0,Predicted U:1,Predicted U:2,Points:0,Points:1,Points:2
0.00013122224,0.049998056,-2.283341e-06,9.2476965e-24,-24.75,-9.3333,0
0.00021116089,1.402295e-12,4.4961304e-05,1.3662995e-23,-24.75,-10.0,0
0.00017468046,0.05,1.940172e-05,-2.5300347e-23,-25.0,-9.3333,0
0.00019344204,0.023084,3.9315724e-05,-1.1304705e-23,-25.0,-10.0,0
0.00015303232,0.04999792,-2.6714144e-05,9.054861e-26,-24.5,-9.3333,0
0.00016544879,1.3266627e-12,-1.5452242e-05,1.5533113e-23,-24.5,-10.0,0
0.00018813567,0.04999544,1.5784564e-05,2.9587306999999997e-23,-24.25,-9.3333,0
0.00018466862,3.405519e-12,-9.638781e-06,3.977717e-23,-24.25,-10.0,0
0.00017010965,0.049992565,4.419798e-05,3.9802010000000006e-23,-24.0,-9.3333,0
0.00016228357,2.4797837e-12,-1.4732068e-06,2.0629735e-23,-24.0,-10.0,0
0.00018831537,0.049989298,4.0307787e-05,-9.798435e-24,-23.75,-9.3333,0
0.00015310376,6.081819e-13,-4.4461922e-07,3.0731118000000003e-24,-23.75,-10.0,0
0.00020431471,0.049985725,5.8799953e-05,2.20305e-23,-23.5,-9.3333,0
0.00017880257,3.1517566e-12,3.067508e-05,1.1394988500000001e-23,-23.5,-10.0,0
0.00018229775,0.049981955,6.7341636e-05,3.2751687e-23,-23.25,-9.3333,0
0.00015765123,-3.1207745e-12,-3.6396523e-05,-1.7792208999999998e-23,-23.25,-10.0,0
0.00021392536,0.04997812,6.8491965e-05,1.6281117e-23,-23.0,-9.3333,0
0.00020069185,-2.1568199e-12,-2.2117165e-06,-1.5490123e-23,-23.0,-10.0,0
0.00017698047,0.04997421,2.065589e-05,4.1175762e-24,-22.75,-9.3333,0
0.00021849727,3.0502476e-12,2.5118727e-05,-1.0643185e-23,-22.75,-10.0,0
0.0001698548,0.049970396,1.7672399e-05,-3.810987e-24,-22.5,-9.3333,0
0.00015584592,-2.158624e-12,5.7954167e-06,1.6333535e-23,-22.5,-10.0,0
0.000164982,0.049966738,-2.220468e-05,-7.167956e-24,-22.25,-9.3333,0
0.00018796486,-1.4473492e-12,-2.8655522e-06,-3.4496824000000004e-24,-22.25,-10.0,0
0.00017796185,0.04996315,3.694209e-05,2.0585054e-23,-22.0,-9.3333,0
0.00017505971,-1.5525289e-12,1.6601203e-05,-3.997629e-23,-22.0,-10.0,0
0.00014499034,0.049959943,3.582699e-05,-3.600669e-23,-21.75,-9.3333,0
0.00021438976,-3.2472774e-12,2.816727e-05,-1.1733227e-23,-21.75,-10.0,0
0.0001709045,0.049957152,1.5923673e-05,2.926949e-23,-21.5,-9.3333,0
0.00020645797,-2.9229258e-12,-4.0005427e-05,2.0130115e-23,-21.5,-10.0,0
0.00022268058,0.049954414,2.177943e-05,1.1816322e-23,-21.25,-9.3333,0
0.00021272682,2.05376e-12,7.2070106e-06,-5.5560925e-24,-21.25,-10.0,0
0.0001831405,0.049952023,2.089153e-05,7.1388756e-26,-21.0,-9.3333,0
0.00017735723,2.1001152e-12,1.9671133e-05,8.6054e-24,-21.0,-10.0,0
0.0001695804,0.049950145,3.070933e-05,2.7045484e-23,-20.75,-9.3333,0
0.00015690169,1.7680891e-12,6.7664223e-06,9.89325e-24,-20.75,-10.0,0
0.00020486032,0.049948834,4.55652e-05,3.8143002e-24,-20.5,-9.3333,0
0.00016898733,-3.1046693e-12,1.157081e-05,1.6396240000000003e-23,-20.5,-10.0,0
0.00019193368,0.049947683,6.9313683e-06,5.612146e-25,-20.25,-9.3333,0
0.0001849272,2.9648367e-12,4.1461404e-05,3.171872e-23,-20.25,-10.0,0
0.00017563158,0.04994735,5.9327765e-05,-7.0570865e-25,-20.0,-9.3333,0
0.00019575893,3.1851466e-12,4.0392828e-05,1.4955270000000002e-23,-20.0,-10.0,0
0.00018396036,0.04994736,-6.9720263e-06,-3.1811517e-23,-19.75,-9.3333,0
0.00017812503,6.671174e-13,6.2313047e-06,-3.3252317e-24,-19.75,-10.0,0
0.00015717819,0.049948014,1.7049533e-05,6.351782e-25,-19.5,-9.3333,0
0.00015365228,-6.4956547e-13,4.1566207e-05,1.30603054e-23,-19.5,-10.0,0
0.00020485283,0.049949173,-1.176988e-06,1.2274423e-24,-19.25,-9.3333,0
0.00015205913,-1.7225665e-12,1.9782135e-05,-1.768096e-24,-19.25,-10.0,0
0.00017384591,0.04995105,2.0203792e-05,3.2269030000000003e-23,-19.0,-9.3333,0
0.00014840862,-1.1073369e-13,1.1562224e-05,9.6104715e-24,-19.0,-10.0,0
0.00018682281,0.049953565,-2.697247e-05,1.4398958e-23,-18.75,-9.3333,0
0.00018446238,1.9760617e-12,-5.7324316e-05,9.540168e-24,-18.75,-10.0,0
0.00017231233,0.0499567,3.163147e-05,3.1284886e-23,-18.5,-9.3333,0
0.00019744651,-2.1304694e-12,1.597841e-05,2.9260656e-23,-18.5,-10.0,0
0.00013580023,0.049960695,-8.44492e-06,1.1848350000000001e-23,-18.25,-9.3333,0
0.00015201827,-2.1357742e-12,-3.308794e-05,-3.2005993e-23,-18.25,-10.0,0
0.00019046577,0.049965527,1.5282552e-05,-3.1611436e-23,-18.0,-9.3333,0
0.00018938848,7.790361e-14,4.015834e-06,2.6783204e-23,-18.0,-10.0,0
0.00015018268,0.049970806,-4.875541e-06,1.1452265999999999e-23,-17.75,-9.3333,0
0.00012861489,1.4310844e-12,-1.7939761e-05,7.642611e-24,-17.75,-10.0,0
0.00014884977,0.049977344,-2.019247e-05,5.0063006e-25,-17.5,-9.3333,0
0.00016518628,8.480508e-13,-2.7706963e-05,-1.7684014999999998e-23,-17.5,-10.0,0
0.00018985044,0.049984396,-2.9452363e-05,9.884339e-24,-17.25,-9.3333,0
0.00016595867,4.6694853e-13,-3.212761e-05,1.3337682e-23,-17.25,-10.0,0
0.00013738133,0.049992785,-2.3706234e-06,-4.8203314e-24,-17.0,-9.3333,0
0.0001564732,-9.367637e-14,-1.1162774e-06,-1.462805e-23,-17.0,-10.0,0
0.00014150742,0.05000191,-1.8061255e-05,1.4532964000000001e-24,-16.75,-9.3333,0
0.0001949373,2.8553965e-12,1.105573e-05,1.25541975e-23,-16.75,-10.0,0
0.00014863428,0.050012436,6.597198e-06,-1.3507116e-23,-16.5,-9.3333,0
0.00014799752,3.0102726e-12,2.0445441e-08,-2.4498460000000003e-23,-16.5,-10.0,0
0.0001447734,0.050023776,-6.1936335e-06,2.1346803e-23,-16.25,-9.3333,0
0.00017812257,-2.9485511e-12,-6.9600064e-06,-2.0921702e-23,-16.25,-10.0,0
0.00019713739,0.05003651,1.0409458e-05,-1.09489855e-23,-16.0,-9.3333,0
0.00015489956,1.2707526e-12,8.243354e-06,-1.4034756999999998e-23,-16.0,-10.0,0
0.00012607398,0.05005038,-2.8283655e-05,7.839157e-24,-15.75,-9.3333,0
0.00014943224,2.6379454e-12,1.7159444e-05,1.3745731e-23,-15.75,-10.0,0
0.00014278627,0.050066046,-9.205956e-06,2.753743e-24,-15.5,-9.3333,0
0.00018552098,-1.6017326e-12,-9.665891e-07,2.1975064999999998e-23,-15.5,-10.0,0
0.00020481035,0.050082695,-1.4682708e-05,-4.6037922e-24,-15.25,-9.3333,0
0.00022134549,-1.586585e-12,2.5255606e-05,-6.885733e-24,-15.25,-10.0,0
0.00016904768,0.050101392,6.8907757e-06,-2.3976121e-23,-15.0,-9.3333,0
0.00012402722,-1.248314e-12,-7.266586e-06,3.3230607999999997e-23,-15.0,-10.0,0
0.00016977232,0.05012152,-3.9136794e-05,1.2666859500000001e-23,-14.75,-9.3333,0
0.00014963825,3.4989442e-12,-6.3364e-05,-9.236457e-24,-14.75,-10.0,0
0.0001222136,0.05014397,-2.7479051e-05,8.158538e-24,-14.5,-9.3333,0
0.00014395006,-1.3590257e-13,-2.0760897e-05,1.893569e-24,-14.5,-10.0,0
0.00014892551,0.050167803,1.0557575e-05,1.5173847e-23,-14.25,-9.3333,0
